"","homicides","population","populationBM","ahomicides25","ahomicides35","unemploy","season","year"
"1",2,228465,12977,2,1,20.2,"Jan","1992"
"2",1,228465,12977,1,0,20.2,"Feb","1992"
"3",1,228465,12977,5,1,20.2,"Mar","1992"
"4",1,228465,12977,1,0,20.2,"Apr","1992"
"5",3,228465,12977,3,0,20.2,"May","1992"
"6",3,228465,12977,6,2,20.2,"Jun","1992"
"7",3,228465,12977,3,0,20.2,"Jul","1992"
"8",5,228361.083333333,12933.5,2,0,20.0833333333333,"Aug","1992"
"9",4,228257.166666667,12890,2,2,19.9666666666667,"Sep","1992"
"10",7,228153.25,12846.5,3,0,19.85,"Oct","1992"
"11",2,228049.333333333,12803,2,1,19.7333333333333,"Nov","1992"
"12",5,227945.416666667,12759.5,9,3,19.6166666666667,"Dec","1992"
"13",5,227841.5,12716,3,1,19.5,"Jan","1993"
"14",1,227737.583333333,12672.5,4,1,19.3833333333333,"Feb","1993"
"15",4,227633.666666667,12629,2,0,19.2666666666667,"Mar","1993"
"16",2,227529.75,12585.5,4,1,19.15,"Apr","1993"
"17",7,227425.833333333,12542,5,3,19.0333333333333,"May","1993"
"18",3,227321.916666667,12498.5,6,4,18.9166666666667,"Jun","1993"
"19",4,227218,12455,5,0,18.8,"Jul","1993"
"20",5,227167.416666667,12439.75,6,0,18.5583333333333,"Aug","1993"
"21",7,227116.833333333,12424.5,5,0,18.3166666666667,"Sep","1993"
"22",2,227066.25,12409.25,2,1,18.075,"Oct","1993"
"23",4,227015.666666667,12394,2,0,17.8333333333333,"Nov","1993"
"24",4,226965.083333333,12378.75,6,2,17.5916666666667,"Dec","1993"
"25",2,226914.5,12363.5,2,2,17.35,"Jan","1994"
"26",5,226863.916666667,12348.25,3,1,17.1083333333333,"Feb","1994"
"27",6,226813.333333333,12333,9,1,16.8666666666667,"Mar","1994"
"28",1,226762.75,12317.75,3,1,16.625,"Apr","1994"
"29",1,226712.166666667,12302.5,2,0,16.3833333333333,"May","1994"
"30",6,226661.583333333,12287.25,1,0,16.1416666666667,"Jun","1994"
"31",3,226611,12272,3,1,15.9,"Jul","1994"
"32",3,227007.333333333,12267.8333333333,2,0,15.8,"Aug","1994"
"33",3,227403.666666667,12263.6666666667,3,1,15.7,"Sep","1994"
"34",4,227800,12259.5,9,5,15.6,"Oct","1994"
"35",3,228196.333333333,12255.3333333333,7,2,15.5,"Nov","1994"
"36",1,228592.666666667,12251.1666666667,3,2,15.4,"Dec","1994"
"37",3,228989,12247,5,1,15.3,"Jan","1995"
"38",4,229385.333333333,12242.8333333333,3,1,15.2,"Feb","1995"
"39",2,229781.666666667,12238.6666666667,2,1,15.1,"Mar","1995"
"40",1,230178,12234.5,5,1,15,"Apr","1995"
"41",2,230574.333333333,12230.3333333333,1,1,14.9,"May","1995"
"42",3,230970.666666667,12226.1666666667,6,2,14.8,"Jun","1995"
"43",7,231367,12222,1,0,14.7,"Jul","1995"
"44",3,231315.083333333,12194.75,1,0,14.625,"Aug","1995"
"45",10,231263.166666667,12167.5,4,1,14.55,"Sep","1995"
"46",5,231211.25,12140.25,9,4,14.475,"Oct","1995"
"47",3,231159.333333333,12113,9,0,14.4,"Nov","1995"
"48",3,231107.416666667,12085.75,4,2,14.325,"Dec","1995"
"49",4,231055.5,12058.5,4,1,14.25,"Jan","1996"
"50",2,231003.583333333,12031.25,5,3,14.175,"Feb","1996"
"51",1,230951.666666667,12004,2,0,14.1,"Mar","1996"
"52",3,230899.75,11976.75,2,0,14.025,"Apr","1996"
"53",4,230847.833333333,11949.5,1,0,13.95,"May","1996"
"54",2,230795.916666667,11922.25,4,1,13.875,"Jun","1996"
"55",3,230744,11895,2,1,13.8,"Jul","1996"
"56",1,230573.333333333,11906.9166666667,6,2,13.7,"Aug","1996"
"57",2,230402.666666667,11918.8333333333,1,1,13.6,"Sep","1996"
"58",0,230232,11930.75,3,2,13.5,"Oct","1996"
"59",1,230061.333333333,11942.6666666667,2,2,13.4,"Nov","1996"
"60",2,229890.666666667,11954.5833333333,0,0,13.3,"Dec","1996"
"61",1,229720,11966.5,4,2,13.2,"Jan","1997"
"62",3,229549.333333333,11978.4166666667,4,3,13.1,"Feb","1997"
"63",1,229378.666666667,11990.3333333333,2,0,13,"Mar","1997"
"64",0,229208,12002.25,2,1,12.9,"Apr","1997"
"65",2,229037.333333333,12014.1666666667,3,1,12.8,"May","1997"
"66",3,228866.666666667,12026.0833333333,3,0,12.7,"Jun","1997"
"67",0,228696,12038,3,1,12.6,"Jul","1997"
"68",1,228343.916666667,12064.75,2,1,12.2833333333333,"Aug","1997"
"69",0,227991.833333333,12091.5,0,0,11.9666666666667,"Sep","1997"
"70",1,227639.75,12118.25,1,0,11.65,"Oct","1997"
"71",0,227287.666666667,12145,3,0,11.3333333333333,"Nov","1997"
"72",3,226935.583333333,12171.75,1,0,11.0166666666667,"Dec","1997"
"73",1,226583.5,12198.5,4,0,10.7,"Jan","1998"
"74",1,226231.416666667,12225.25,1,0,10.3833333333333,"Feb","1998"
"75",0,225879.333333333,12252,2,2,10.0666666666667,"Mar","1998"
"76",0,225527.25,12278.75,0,0,9.75,"Apr","1998"
"77",2,225175.166666667,12305.5,0,0,9.43333333333333,"May","1998"
