"","m","p","y","R","dm","dy2","dR","dR1","dp","m1","y1","R1","season","ecm.res"
"1",7.951791763,3.449860572,8.374403953,0.06,-0.0789546959999994,0.078125,-0.002,-0.002,0.0299723149999997,8.030746459,8.477333068,0.062,"Q1",0.135353594585906
"2",8.020039558,3.427157402,8.420853614,0.057,0.0682477950000004,0.0119724269999999,-0.003,-0.002,-0.0227031699999998,7.951791763,8.374403953,0.06,"Q2",0.132240790894112
"3",8.002080917,3.478868007,8.482004165,0.06,-0.0179586409999999,-0.102929115,0.003,-0.003,0.0517106049999998,8.020039558,8.420853614,0.057,"Q3",0.132117066117972
"4",8.09002304,3.473331928,8.48827362,0.06,0.0879421229999995,0.0464496610000005,0,0.003,-0.00553607900000008,8.002080917,8.482004165,0.06,"Q4",0.140676686159547
"5",8.006645202,3.494353771,8.387731552,0.058,-0.0833778380000005,0.061150550999999,-0.00199999999999999,0,0.0210218430000002,8.09002304,8.48827362,0.06,"Q1",0.130908783210403
"6",8.07186985,3.470630168,8.461326599,0.06,0.0652246480000009,0.00626945499999998,0.00199999999999999,-0.00199999999999999,-0.0237236030000001,8.006645202,8.387731552,0.058,"Q2",0.12865155663309
"7",8.050561904,3.514109373,8.52533245,0.061,-0.0213079460000003,-0.100542067999999,0.001,0.00199999999999999,0.0434792050000001,8.07186985,8.461326599,0.06,"Q3",0.129466993372835
"8",8.122130393,3.505587339,8.52289772,0.062,0.0715684890000006,0.0735950469999995,0.001,0.001,-0.00852203400000029,8.050561904,8.52533245,0.061,"Q4",0.140049709915636
"9",8.022497177,3.535145282,8.363410949,0.061,-0.0996332160000009,0.064005851000001,-0.001,0.001,0.0295579430000004,8.122130393,8.52289772,0.062,"Q1",0.130467462089735
"10",8.100152969,3.505046844,8.478836059,0.061,0.0776557919999998,-0.00243473000000094,0,-0.001,-0.030098438,8.022497177,8.363410949,0.061,"Q2",0.121609014329374
"11",8.089229583,3.535699129,8.557715415,0.061,-0.010923386,-0.159486770999999,0,0,0.0306522849999999,8.100152969,8.478836059,0.061,"Q3",0.127797068450161
"12",8.153841972,3.532547235,8.562039375,0.061,0.0646123890000005,0.11542511,0,0,-0.00315189400000015,8.089229583,8.557715415,0.061,"Q4",0.139748551277038
"13",8.075132369,3.558343648,8.44922924,0.06,-0.0787096030000001,0.0788793559999998,-0.001,0,0.0257964130000001,8.153841972,8.562039375,0.061,"Q1",0.132533871991805
"14",8.151804924,3.531026124,8.538758277,0.062,0.076672555,0.00432395999999891,0.002,-0.001,-0.0273175240000003,8.075132369,8.44922924,0.06,"Q2",0.127442497344262
"15",8.12793827,3.561926364,8.59346199,0.063,-0.0238666540000008,-0.112810135,0.001,0.002,0.0309002400000002,8.151804924,8.538758277,0.062,"Q3",0.129024335471542
"16",8.174400329,3.57627058,8.59923458,0.063,0.0464620589999996,0.0895290370000001,0,0.001,0.014344216,8.12793827,8.59346199,0.063,"Q4",0.138661880407824
"17",8.111390113,3.598270654,8.496793746,0.064,-0.0630102159999986,0.0547037130000003,0.001,0,0.0220000739999997,8.174400329,8.59923458,0.063,"Q1",0.133832903368116
"18",8.193264007,3.567756414,8.579758644,0.068,0.0818738939999992,0.00577258999999941,0.004,0.001,-0.0305142399999996,8.111390113,8.496793746,0.064,"Q2",0.127010721637949
"19",8.161773681,3.599419593,8.628106117,0.071,-0.0314903260000001,-0.102440833999999,0.00299999999999999,0.004,0.0316631789999997,8.193264007,8.579758644,0.068,"Q3",0.125845990724965
"20",8.202444076,3.610647678,8.638485908,0.074,0.0406703950000011,0.0829648980000002,0.003,0.00299999999999999,0.0112280849999999,8.161773681,8.628106117,0.071,"Q4",0.134312742626681
"21",8.120451927,3.633683919,8.534204483,0.074,-0.0819921490000013,0.0483474729999998,0,0.003,0.0230362410000002,8.202444076,8.638485908,0.074,"Q1",0.128952798517236
"22",8.199460983,3.60135889,8.611403465,0.079,0.0790090560000003,0.0103797910000001,0.005,0,-0.0323250289999999,8.120451927,8.534204483,0.074,"Q2",0.124790274820062
"23",8.150162696,3.635847806,8.643068313,0.081,-0.0492982869999992,-0.104281425,0.002,0.005,0.0344889159999999,8.199460983,8.611403465,0.079,"Q3",0.122577017262399
"24",8.179318428,3.641918897,8.637051582,0.076,0.0291557319999995,0.0771989820000005,-0.005,0.002,0.00607109099999992,8.150162696,8.643068313,0.081,"Q4",0.131560989410192
"25",8.116368293,3.655374288,8.516675949,0.072,-0.0629501349999995,0.0316648480000001,-0.004,-0.005,0.0134553909999999,8.179318428,8.637051582,0.076,"Q1",0.130316309898074
"26",8.18810749,3.623513936,8.590856552,0.069,0.0717391969999994,-0.00601673100000077,-0.00299999999999999,-0.004,-0.0318603519999998,8.116368293,8.516675949,0.072,"Q2",0.12415417665005
"27",8.189083099,3.639951705,8.6338768,0.069,0.000975608999999267,-0.120375633,0,-0.00299999999999999,0.0164377689999999,8.18810749,8.590856552,0.069,"Q3",0.12734733385978
"28",8.260558128,3.656872749,8.659213066,0.07,0.0714750290000001,0.0741806030000003,0.001,0,0.0169210440000001,8.189083099,8.6338768,0.069,"Q4",0.133028881430069
"29",8.172073364,3.66407442,8.546245574,0.07,-0.0884847640000004,0.0430202479999995,0,0.001,0.0072016709999998,8.260558128,8.659213066,0.07,"Q1",0.1272015440258
"30",8.239624023,3.647979259,8.630218505,0.067,0.0675506590000001,0.0253362660000001,-0.003,0,-0.016095161,8.172073364,8.546245574,0.07,"Q2",0.12265164986492
"31",8.228731155,3.673537254,8.699078559,0.065,-0.0108928679999991,-0.112967491999999,-0.002,-0.003,0.0255579950000002,8.239624023,8.630218505,0.067,"Q3",0.127670330528847
"32",8.294263839,3.677818536,8.724544525,0.065,0.065532683999999,0.0839729309999999,0,-0.002,0.004281282,8.228731155,8.699078559,0.065,"Q4",0.139501482135489
"33",8.207374572,3.696922063,8.609492301,0.066,-0.0868892669999983,0.0688600539999999,0.001,0,0.019103527,8.294263839,8.724544525,0.065,"Q1",0.135025759085172
"34",8.275868415,3.683866977,8.696442604,0.069,0.0684938429999988,0.0254659660000005,0.003,0.001,-0.013055086,8.207374572,8.609492301,0.066,"Q2",0.129385292284933
"35",8.260525703,3.713035345,8.762062072,0.072,-0.0153427119999989,-0.115052224000001,0.00299999999999999,0.003,0.0291683680000001,8.275868415,8.696442604,0.069,"Q3",0.130989537487705
