"","marriages","illegitimate","legitimate","deaths","fraction","lag.marriages","politics","morals","nuptiality","year"
"1",8,17,53,81,0.242857142857143,26,"archbishopric","unchastity","archbishopric",1700
"2",8,10,45,61,0.181818181818182,8,"archbishopric","unchastity","archbishopric",1701
"3",8,5,56,59,0.0819672131147541,8,"archbishopric","unchastity","archbishopric",1702
"4",8,9,44,47,0.169811320754717,8,"archbishopric","unchastity","archbishopric",1703
"5",9,12,39,91,0.235294117647059,8,"archbishopric","unchastity","archbishopric",1704
"6",16,12,42,48,0.222222222222222,9,"archbishopric","unchastity","archbishopric",1705
"7",17,4,52,59,0.0714285714285714,16,"archbishopric","unchastity","archbishopric",1706
"8",12,10,42,61,0.192307692307692,17,"archbishopric","unchastity","archbishopric",1707
"9",19,10,56,62,0.151515151515152,12,"archbishopric","unchastity","archbishopric",1708
"10",15,13,57,64,0.185714285714286,19,"archbishopric","unchastity","archbishopric",1709
"11",23,13,50,70,0.206349206349206,15,"archbishopric","unchastity","archbishopric",1710
"12",14,16,59,54,0.213333333333333,23,"archbishopric","unchastity","archbishopric",1711
"13",15,5,62,90,0.0746268656716418,14,"archbishopric","unchastity","archbishopric",1712
"14",14,8,55,70,0.126984126984127,15,"archbishopric","unchastity","archbishopric",1713
"15",9,8,60,85,0.117647058823529,14,"archbishopric","unchastity","archbishopric",1714
"16",13,3,49,75,0.0576923076923077,9,"archbishopric","unchastity","archbishopric",1715
"17",10,11,59,68,0.157142857142857,13,"archbishopric","unchastity","archbishopric",1716
"18",13,12,58,64,0.171428571428571,10,"archbishopric","unchastity","archbishopric",1717
"19",11,11,50,75,0.180327868852459,13,"archbishopric","unchastity","archbishopric",1718
"20",18,14,62,44,0.184210526315789,11,"archbishopric","unchastity","archbishopric",1719
"21",12,8,53,61,0.131147540983607,18,"archbishopric","unchastity","archbishopric",1720
"22",15,10,55,68,0.153846153846154,12,"archbishopric","unchastity","archbishopric",1721
"23",14,11,71,106,0.134146341463415,15,"archbishopric","unchastity","archbishopric",1722
"24",13,18,52,94,0.257142857142857,14,"archbishopric","unchastity","archbishopric",1723
"25",18,13,52,121,0.2,13,"archbishopric","unchastity","archbishopric",1724
"26",13,10,59,94,0.144927536231884,18,"archbishopric","unchastity","archbishopric",1725
"27",14,7,50,63,0.12280701754386,13,"archbishopric","unchastity","archbishopric",1726
"28",11,12,56,86,0.176470588235294,14,"archbishopric","unchastity","archbishopric",1727
"29",11,13,54,54,0.194029850746269,11,"archbishopric","unchastity","archbishopric",1728
"30",8,11,55,74,0.166666666666667,11,"archbishopric","unchastity","archbishopric",1729
