"actual","estimated","frequency","error"
3,3,23,0
4,4,65,0
5,5,102,0
6,5,7,1
5,6,4,-1
6,6,120,0
7,6,18,1
5,7,1,-2
6,7,20,-1
7,7,113,0
8,7,30,1
9,7,2,2
7,8,25,-1
8,8,76,0
9,8,24,1
10,8,6,2
11,8,1,3
8,9,28,-1
9,9,76,0
10,9,37,1
11,9,11,2
12,9,1,3
8,10,1,-2
9,10,18,-1
10,10,46,0
11,10,19,1
12,10,4,2
9,11,2,-2
10,11,16,-1
11,11,26,0
12,11,17,1
13,11,7,2
14,11,2,3
10,12,2,-2
11,12,12,-1
12,12,19,0
13,12,11,1
14,12,3,2
15,12,2,3
12,13,3,-1
13,13,6,0
14,13,3,1
15,13,1,2
12,14,1,-2
13,14,1,-1
14,14,4,0
15,14,6,1
13,15,1,-2
14,15,2,-1
15,15,2,0
