"Name","Longitude","Year","Longname","City","Country","Latitude","Source","Gap"
"G. Jansonius",17.736,1605,"Jan Jansson","Amsterdam","Flanders",52.373056,"Map",0
"G. Mercator",19.872,1567,"Gerardus Mercator","Leuven","Flanders",50.883333,"Map",0
"I. Schonerus",20.638,1536,"Johann Schoner","Bamberg","Germany",49.891667,"Astron",0
"P. Lantsbergius",21.106,1530,"Phillip van Lansberge","Middelburg","Belgium",51.5,"Astron",0
"T. Brahe",21.447,1578,"Tycho Brahe","Hven","Denmark",55.866667,"Astron",0
"I. Regiomontanus",25.617,1463,"Johann Muller","Nuremberg","Germany",49.45,"Astron",1
"Orontius",26,1542,"Oronce Fine","Paris","France",48.866667,"Astron",1
"C. Clavius",26.34,1567,"Christoph Clavius","Rome","Italy",41.9,"Astron",1
"C. Ptolomeus",27.787,150,"Claudius Ptolemaeus","Alexandria","Egypt",31.1980556,"Astron",1
"A. Argelius",28.17,1610,"Andrea Argoli","Padua","Italy ",45.4166667,"Astron",1
"A. Maginus",29.787,1582,"Giovanni Antonio Magini","Bologna","Italy",44.4833333,"Astron",1
"D. Origanus",30.128,1601,"David Origanus","Frankfurt","Germany",52.3471,"Astron",1
