"decrease","rowpos","colpos","treatment"
57,1,1,"D"
95,2,1,"E"
8,3,1,"B"
69,4,1,"H"
92,5,1,"G"
90,6,1,"F"
15,7,1,"C"
2,8,1,"A"
84,1,2,"C"
6,2,2,"B"
127,3,2,"H"
36,4,2,"D"
51,5,2,"E"
2,6,2,"A"
69,7,2,"F"
71,8,2,"G"
87,1,3,"F"
72,2,3,"H"
5,3,3,"A"
39,4,3,"E"
22,5,3,"D"
16,6,3,"C"
72,7,3,"G"
4,8,3,"B"
130,1,4,"H"
4,2,4,"A"
114,3,4,"E"
9,4,4,"C"
20,5,4,"F"
24,6,4,"G"
10,7,4,"B"
51,8,4,"D"
43,1,5,"E"
28,2,5,"D"
60,3,5,"G"
5,4,5,"A"
17,5,5,"C"
7,6,5,"B"
81,7,5,"H"
71,8,5,"F"
12,1,6,"A"
29,2,6,"C"
44,3,6,"F"
77,4,6,"G"
4,5,6,"B"
27,6,6,"D"
47,7,6,"E"
76,8,6,"H"
8,1,7,"B"
72,2,7,"G"
13,3,7,"C"
57,4,7,"F"
4,5,7,"A"
81,6,7,"H"
20,7,7,"D"
61,8,7,"E"
80,1,8,"G"
114,2,8,"F"
39,3,8,"D"
14,4,8,"B"
86,5,8,"H"
55,6,8,"E"
3,7,8,"A"
19,8,8,"C"
