"child","parent","frequency","gp","par","chl"
59.5,62.5,0.5,"fs","Father","Son"
59.5,63.5,0.5,"fs","Father","Son"
59.5,64.5,1,"fs","Father","Son"
60.5,62.5,0.5,"fs","Father","Son"
60.5,66.5,1,"fs","Father","Son"
61.5,59.5,0.25,"fs","Father","Son"
61.5,60.5,0.25,"fs","Father","Son"
61.5,62.5,0.5,"fs","Father","Son"
61.5,63.5,1,"fs","Father","Son"
61.5,64.5,0.25,"fs","Father","Son"
61.5,65.5,0.25,"fs","Father","Son"
61.5,66.5,0.5,"fs","Father","Son"
61.5,67.5,0.5,"fs","Father","Son"
62.5,59.5,0.25,"fs","Father","Son"
62.5,60.5,0.25,"fs","Father","Son"
62.5,61.5,2.25,"fs","Father","Son"
62.5,62.5,2.25,"fs","Father","Son"
62.5,63.5,2,"fs","Father","Son"
62.5,64.5,4,"fs","Father","Son"
62.5,65.5,5,"fs","Father","Son"
62.5,66.5,2.75,"fs","Father","Son"
62.5,67.5,1.25,"fs","Father","Son"
62.5,69.5,0.25,"fs","Father","Son"
62.5,70.5,0.25,"fs","Father","Son"
63.5,58.5,1,"fs","Father","Son"
63.5,60.5,1.5,"fs","Father","Son"
63.5,61.5,3.75,"fs","Father","Son"
63.5,62.5,3,"fs","Father","Son"
63.5,63.5,4.25,"fs","Father","Son"
63.5,64.5,8,"fs","Father","Son"
63.5,65.5,9.25,"fs","Father","Son"
63.5,66.5,3,"fs","Father","Son"
63.5,67.5,1.25,"fs","Father","Son"
63.5,68.5,1.5,"fs","Father","Son"
63.5,69.5,0.75,"fs","Father","Son"
63.5,70.5,1.25,"fs","Father","Son"
64.5,58.5,2,"fs","Father","Son"
64.5,59.5,1,"fs","Father","Son"
64.5,60.5,0.5,"fs","Father","Son"
64.5,61.5,2,"fs","Father","Son"
64.5,62.5,3.25,"fs","Father","Son"
64.5,63.5,9.5,"fs","Father","Son"
64.5,64.5,13.5,"fs","Father","Son"
64.5,65.5,10.75,"fs","Father","Son"
64.5,66.5,7.5,"fs","Father","Son"
64.5,67.5,5.5,"fs","Father","Son"
64.5,68.5,3.5,"fs","Father","Son"
64.5,69.5,2.5,"fs","Father","Son"
65.5,59.5,0.5,"fs","Father","Son"
65.5,60.5,1,"fs","Father","Son"
65.5,61.5,2.25,"fs","Father","Son"
65.5,62.5,5.25,"fs","Father","Son"
65.5,63.5,9.5,"fs","Father","Son"
65.5,64.5,10,"fs","Father","Son"
65.5,65.5,16.75,"fs","Father","Son"
65.5,66.5,17.5,"fs","Father","Son"
65.5,67.5,16,"fs","Father","Son"
65.5,68.5,5.25,"fs","Father","Son"
65.5,69.5,2,"fs","Father","Son"
65.5,70.5,2.5,"fs","Father","Son"
65.5,71.5,1,"fs","Father","Son"
66.5,59.5,1.5,"fs","Father","Son"
66.5,60.5,2,"fs","Father","Son"
66.5,61.5,4.75,"fs","Father","Son"
66.5,62.5,3.5,"fs","Father","Son"
66.5,63.5,13.75,"fs","Father","Son"
66.5,64.5,19.75,"fs","Father","Son"
66.5,65.5,26.5,"fs","Father","Son"
66.5,66.5,25.75,"fs","Father","Son"
66.5,67.5,19.5,"fs","Father","Son"
66.5,68.5,12.5,"fs","Father","Son"
66.5,69.5,13.75,"fs","Father","Son"
66.5,70.5,3.25,"fs","Father","Son"
66.5,71.5,0.5,"fs","Father","Son"
66.5,72.5,1,"fs","Father","Son"
67.5,60.5,1.5,"fs","Father","Son"
67.5,61.5,2,"fs","Father","Son"
67.5,62.5,7.5,"fs","Father","Son"
67.5,63.5,10,"fs","Father","Son"
67.5,64.5,10.25,"fs","Father","Son"
67.5,65.5,24.25,"fs","Father","Son"
67.5,66.5,31.5,"fs","Father","Son"
67.5,67.5,23.5,"fs","Father","Son"
67.5,68.5,29.5,"fs","Father","Son"
67.5,69.5,13.25,"fs","Father","Son"
67.5,70.5,8.5,"fs","Father","Son"
67.5,71.5,9.5,"fs","Father","Son"
67.5,72.5,2.25,"fs","Father","Son"
68.5,60.5,1,"fs","Father","Son"
68.5,62.5,5.25,"fs","Father","Son"
68.5,63.5,5,"fs","Father","Son"
68.5,64.5,12.75,"fs","Father","Son"
68.5,65.5,18.25,"fs","Father","Son"
68.5,66.5,16,"fs","Father","Son"
68.5,67.5,24,"fs","Father","Son"
68.5,68.5,29,"fs","Father","Son"
68.5,69.5,21.5,"fs","Father","Son"
68.5,70.5,10,"fs","Father","Son"
68.5,71.5,3.5,"fs","Father","Son"
68.5,72.5,2.25,"fs","Father","Son"
68.5,74.5,1,"fs","Father","Son"
69.5,62.5,1,"fs","Father","Son"
69.5,63.5,2.5,"fs","Father","Son"
69.5,64.5,5.75,"fs","Father","Son"
69.5,65.5,18.75,"fs","Father","Son"
69.5,66.5,11.75,"fs","Father","Son"
69.5,67.5,19.5,"fs","Father","Son"
69.5,68.5,22.5,"fs","Father","Son"
69.5,69.5,19.5,"fs","Father","Son"
69.5,70.5,14.5,"fs","Father","Son"
69.5,71.5,6.25,"fs","Father","Son"
69.5,72.5,3.5,"fs","Father","Son"
69.5,73.5,1.5,"fs","Father","Son"
69.5,74.5,1,"fs","Father","Son"
70.5,63.5,3.25,"fs","Father","Son"
70.5,64.5,5,"fs","Father","Son"
70.5,65.5,8.75,"fs","Father","Son"
70.5,66.5,10.75,"fs","Father","Son"
70.5,67.5,19,"fs","Father","Son"
70.5,68.5,14.75,"fs","Father","Son"
70.5,69.5,20.75,"fs","Father","Son"
70.5,70.5,10.75,"fs","Father","Son"
