"Year","month","count","mon","date"
1812,"Jan",1110,1,1812-01-01
1812,"Feb",1124,2,1812-02-01
1812,"Mar",1180,3,1812-03-01
1812,"Apr",1235,4,1812-04-01
1812,"May",1267,5,1812-05-01
1812,"Jun",1296,6,1812-06-01
1812,"Jul",1299,7,1812-07-01
1812,"Aug",1372,8,1812-08-01
1812,"Sep",1403,9,1812-09-01
1812,"Oct",1396,10,1812-10-01
1812,"Nov",1388,11,1812-11-01
1812,"Dec",1453,12,1812-12-01
1813,"Jan",1449,1,1813-01-01
1813,"Feb",1521,2,1813-02-01
1813,"Mar",1542,3,1813-03-01
1813,"Apr",1621,4,1813-04-01
1813,"May",1648,5,1813-05-01
1813,"Jun",1679,6,1813-06-01
1813,"Jul",1686,7,1813-07-01
1813,"Aug",1752,8,1813-08-01
1813,"Sep",1786,9,1813-09-01
1813,"Oct",1793,10,1813-10-01
1813,"Nov",1775,11,1813-11-01
1813,"Dec",1761,12,1813-12-01
1814,"Jan",1801,1,1814-01-01
1814,"Feb",1869,2,1814-02-01
1814,"Mar",1961,3,1814-03-01
1814,"Apr",1902,4,1814-04-01
1814,"May",1919,5,1814-05-01
1814,"Jun",1940,6,1814-06-01
1814,"Jul",1959,7,1814-07-01
1814,"Aug",1954,8,1814-08-01
1814,"Sep",1966,9,1814-09-01
1814,"Oct",1954,10,1814-10-01
1814,"Nov",1865,11,1814-11-01
1814,"Dec",1776,12,1814-12-01
1815,"Jan",1780,1,1815-01-01
1815,"Feb",1346,2,1815-02-01
1815,"Mar",1899,3,1815-03-01
1815,"Apr",1823,4,1815-04-01
1815,"May",1901,5,1815-05-01
1815,"Jun",1909,6,1815-06-01
1815,"Jul",1934,7,1815-07-01
1815,"Aug",1985,8,1815-08-01
1815,"Sep",1942,9,1815-09-01
1815,"Oct",1990,10,1815-10-01
1815,"Nov",1848,11,1815-11-01
1815,"Dec",1892,12,1815-12-01
1816,"Jan",1970,1,1816-01-01
1816,"Feb",2019,2,1816-02-01
1816,"Mar",2042,3,1816-03-01
1816,"Apr",2168,4,1816-04-01
1816,"May",2197,5,1816-05-01
1816,"Jun",2213,6,1816-06-01
1816,"Jul",2278,7,1816-07-01
1816,"Aug",2345,8,1816-08-01
1816,"Sep",2238,9,1816-09-01
1816,"Oct",2256,10,1816-10-01
1816,"Nov",2252,11,1816-11-01
1816,"Dec",2248,12,1816-12-01
1817,"Jan",2281,1,1817-01-01
1817,"Feb",2264,2,1817-02-01
1817,"Mar",2237,3,1817-03-01
1817,"Apr",2204,4,1817-04-01
1817,"May",2268,5,1817-05-01
1817,"Jun",3343,6,1817-06-01
1817,"Jul",2411,7,1817-07-01
1817,"Aug",2504,8,1817-08-01
1817,"Sep",2545,9,1817-09-01
1817,"Oct",2566,10,1817-10-01
1817,"Nov",2579,11,1817-11-01
1817,"Dec",2651,12,1817-12-01
1818,"Jan",2523,1,1818-01-01
1818,"Feb",2584,2,1818-02-01
1818,"Mar",2561,3,1818-03-01
1818,"Apr",2538,4,1818-04-01
1818,"May",2584,5,1818-05-01
1818,"Jun",2575,6,1818-06-01
1818,"Jul",2598,7,1818-07-01
1818,"Aug",2645,8,1818-08-01
1818,"Sep",2572,9,1818-09-01
1818,"Oct",2670,10,1818-10-01
1818,"Nov",2589,11,1818-11-01
1818,"Dec",2603,12,1818-12-01
1819,"Jan",2687,1,1819-01-01
1819,"Feb",2650,2,1819-02-01
1819,"Mar",2636,3,1819-03-01
1819,"Apr",2613,4,1819-04-01
1819,"May",2613,5,1819-05-01
1819,"Jun",2597,6,1819-06-01
1819,"Jul",2531,7,1819-07-01
1819,"Aug",2536,8,1819-08-01
1819,"Sep",2574,9,1819-09-01
1819,"Oct",2598,10,1819-10-01
1819,"Nov",2600,11,1819-11-01
1819,"Dec",2645,12,1819-12-01
1820,"Jan",2611,1,1820-01-01
1820,"Feb",2670,2,1820-02-01
1820,"Mar",2689,3,1820-03-01
1820,"Apr",2687,4,1820-04-01
1820,"May",2745,5,1820-05-01
1820,"Jun",2776,6,1820-06-01
1820,"Jul",2797,7,1820-07-01
1820,"Aug",2759,8,1820-08-01
1820,"Sep",2795,9,1820-09-01
1820,"Oct",2788,10,1820-10-01
1820,"Nov",2807,11,1820-11-01
1820,"Dec",2833,12,1820-12-01
1821,"Jan",2827,1,1821-01-01
1821,"Feb",2760,2,1821-02-01
1821,"Mar",2822,3,1821-03-01
1821,"Apr",2842,4,1821-04-01
1821,"May",2904,5,1821-05-01
1821,"Jun",2845,6,1821-06-01
1821,"Jul",2964,7,1821-07-01
1821,"Aug",2997,8,1821-08-01
1821,"Sep",2983,9,1821-09-01
1821,"Oct",3065,10,1821-10-01
1821,"Nov",2988,11,1821-11-01
1821,"Dec",2969,12,1821-12-01
1822,"Jan",2984,1,1822-01-01
1822,"Feb",2958,2,1822-02-01
1822,"Mar",2960,3,1822-03-01
1822,"Apr",2945,4,1822-04-01
1822,"May",2895,5,1822-05-01
1822,"Jun",2918,6,1822-06-01
1822,"Jul",2854,7,1822-07-01
1822,"Aug",2864,8,1822-08-01
1822,"Sep",2865,9,1822-09-01
1822,"Oct",2898,10,1822-10-01
1822,"Nov",2851,11,1822-11-01
1822,"Dec",2839,12,1822-12-01
1823,"Jan",2819,1,1823-01-01
1823,"Feb",2803,2,1823-02-01
1823,"Mar",2761,3,1823-03-01
1823,"Apr",2728,4,1823-04-01
1823,"May",2746,5,1823-05-01
1823,"Jun",2709,6,1823-06-01
1823,"Jul",2664,7,1823-07-01
1823,"Aug",2666,8,1823-08-01
1823,"Sep",2674,9,1823-09-01
1823,"Oct",2657,10,1823-10-01
1823,"Nov",2647,11,1823-11-01
1823,"Dec",2636,12,1823-12-01
1824,"Jan",2621,1,1824-01-01
1824,"Feb",2631,2,1824-02-01
1824,"Mar",2635,3,1824-03-01
1824,"Apr",2639,4,1824-04-01
1824,"May",2668,5,1824-05-01
1824,"Jun",2642,6,1824-06-01
1824,"Jul",2676,7,1824-07-01
1824,"Aug",2717,8,1824-08-01
1824,"Sep",2664,9,1824-09-01
1824,"Oct",2687,10,1824-10-01
1824,"Nov",2653,11,1824-11-01
1824,"Dec",2612,12,1824-12-01
1825,"Jan",2627,1,1825-01-01
1825,"Feb",2504,2,1825-02-01
1825,"Mar",2600,3,1825-03-01
1825,"Apr",2599,4,1825-04-01
1825,"May",2629,5,1825-05-01
1825,"Jun",2632,6,1825-06-01
1825,"Jul",2647,7,1825-07-01
1825,"Aug",2645,8,1825-08-01
1825,"Sep",2658,9,1825-09-01
1825,"Oct",2643,10,1825-10-01
1825,"Nov",2601,11,1825-11-01
1825,"Dec",2638,12,1825-12-01
1826,"Jan",2582,1,1826-01-01
1826,"Feb",2539,2,1826-02-01
1826,"Mar",2543,3,1826-03-01
1826,"Apr",2504,4,1826-04-01
1826,"May",2515,5,1826-05-01
1826,"Jun",2492,6,1826-06-01
1826,"Jul",2465,7,1826-07-01
1826,"Aug",2464,8,1826-08-01
1826,"Sep",2472,9,1826-09-01
1826,"Oct",2487,10,1826-10-01
1826,"Nov",2447,11,1826-11-01
1826,"Dec",2438,12,1826-12-01
1827,"Jan",2418,1,1827-01-01
1827,"Feb",2414,2,1827-02-01
1827,"Mar",2402,3,1827-03-01
1827,"Apr",2429,4,1827-04-01
1827,"May",2449,5,1827-05-01
1827,"Jun",2495,6,1827-06-01
1827,"Jul",2481,7,1827-07-01
1827,"Aug",2525,8,1827-08-01
1827,"Sep",2508,9,1827-09-01
1827,"Oct",2513,10,1827-10-01
1827,"Nov",2509,11,1827-11-01
1827,"Dec",2520,12,1827-12-01
1828,"Jan",2512,1,1828-01-01
1828,"Feb",2504,2,1828-02-01
1828,"Mar",2567,3,1828-03-01
1828,"Apr",2611,4,1828-04-01
1828,"May",2591,5,1828-05-01
1828,"Jun",2639,6,1828-06-01
1828,"Jul",2643,7,1828-07-01
1828,"Aug",2706,8,1828-08-01
1828,"Sep",2754,9,1828-09-01
1828,"Oct",2786,10,1828-10-01
1828,"Nov",2817,11,1828-11-01
1828,"Dec",2826,12,1828-12-01
1829,"Jan",2875,1,1829-01-01
1829,"Feb",2776,2,1829-02-01
1829,"Mar",2747,3,1829-03-01
1829,"Apr",2643,4,1829-04-01
1829,"May",2604,5,1829-05-01
1829,"Jun",2611,6,1829-06-01
1829,"Jul",2680,7,1829-07-01
1829,"Aug",2930,8,1829-08-01
1829,"Sep",3006,9,1829-09-01
1829,"Oct",3036,10,1829-10-01
1829,"Nov",3083,11,1829-11-01
1829,"Dec",3127,12,1829-12-01
1830,"Jan",3084,1,1830-01-01
1830,"Feb",3047,2,1830-02-01
1830,"Mar",3064,3,1830-03-01
1830,"Apr",3053,4,1830-04-01
1830,"May",3040,5,1830-05-01
1830,"Jun",3043,6,1830-06-01
1830,"Jul",3044,7,1830-07-01
1830,"Aug",3016,8,1830-08-01
1830,"Sep",3002,9,1830-09-01
1830,"Oct",3008,10,1830-10-01
1830,"Nov",2965,11,1830-11-01
1830,"Dec",2971,12,1830-12-01
1831,"Jan",3022,1,1831-01-01
1831,"Feb",3072,2,1831-02-01
1831,"Mar",3068,3,1831-03-01
1831,"Apr",3133,4,1831-04-01
1831,"May",3154,5,1831-05-01
1831,"Jun",3181,6,1831-06-01
1831,"Jul",3246,7,1831-07-01
1831,"Aug",3341,8,1831-08-01
1831,"Sep",3400,9,1831-09-01
1831,"Oct",3479,10,1831-10-01
1831,"Nov",3505,11,1831-11-01
1831,"Dec",3527,12,1831-12-01
1832,"Jan",3551,1,1832-01-01
1832,"Feb",3595,2,1832-02-01
1832,"Mar",3594,3,1832-03-01
1832,"Apr",3582,4,1832-04-01
1832,"May",3556,5,1832-05-01
1832,"Jun",3535,6,1832-06-01
1832,"Jul",3494,7,1832-07-01
1832,"Aug",3472,8,1832-08-01
1832,"Sep",3512,9,1832-09-01
1832,"Oct",3580,10,1832-10-01
1832,"Nov",3611,11,1832-11-01
1832,"Dec",3617,12,1832-12-01
1833,"Jan",3644,1,1833-01-01
1833,"Feb",3657,2,1833-02-01
1833,"Mar",3688,3,1833-03-01
1833,"Apr",3681,4,1833-04-01
1833,"May",3704,5,1833-05-01
1833,"Jun",3741,6,1833-06-01
1833,"Jul",3734,7,1833-07-01
1833,"Aug",3746,8,1833-08-01
1833,"Sep",3768,9,1833-09-01
1833,"Oct",3788,10,1833-10-01
1833,"Nov",3780,11,1833-11-01
1833,"Dec",3745,12,1833-12-01
1834,"Jan",3733,1,1834-01-01
1834,"Feb",3728,2,1834-02-01
1834,"Mar",3745,3,1834-03-01
1834,"Apr",3756,4,1834-04-01
1834,"May",3754,5,1834-05-01
1834,"Jun",3765,6,1834-06-01
1834,"Jul",3801,7,1834-07-01
1834,"Aug",3822,8,1834-08-01
1834,"Sep",3825,9,1834-09-01
1834,"Oct",3836,10,1834-10-01
1834,"Nov",3811,11,1834-11-01
1834,"Dec",3806,12,1834-12-01
1835,"Jan",3804,1,1835-01-01
1835,"Feb",3809,2,1835-02-01
1835,"Mar",3799,3,1835-03-01
1835,"Apr",3805,4,1835-04-01
1835,"May",3796,5,1835-05-01
1835,"Jun",3816,6,1835-06-01
1835,"Jul",3790,7,1835-07-01
1835,"Aug",3804,8,1835-08-01
1835,"Sep",3823,9,1835-09-01
1835,"Oct",3835,10,1835-10-01
1835,"Nov",3835,11,1835-11-01
1835,"Dec",3843,12,1835-12-01
1836,"Jan",3795,1,1836-01-01
1836,"Feb",3781,2,1836-02-01
1836,"Mar",3792,3,1836-03-01
1836,"Apr",3785,4,1836-04-01
1836,"May",3811,5,1836-05-01
1836,"Jun",3827,6,1836-06-01
1836,"Jul",3806,7,1836-07-01
1836,"Aug",3810,8,1836-08-01
1836,"Sep",3839,9,1836-09-01
1836,"Oct",3855,10,1836-10-01
1836,"Nov",3855,11,1836-11-01
1836,"Dec",3845,12,1836-12-01
1837,"Jan",3820,1,1837-01-01
1837,"Feb",3845,2,1837-02-01
1837,"Mar",3839,3,1837-03-01
1837,"Apr",3829,4,1837-04-01
1837,"May",3856,5,1837-05-01
1837,"Jun",3876,6,1837-06-01
1837,"Jul",3842,7,1837-07-01
1837,"Aug",3861,8,1837-08-01
1837,"Sep",3895,9,1837-09-01
1837,"Oct",3917,10,1837-10-01
1837,"Nov",3943,11,1837-11-01
1837,"Dec",3981,12,1837-12-01
1838,"Jan",3952,1,1838-01-01
1838,"Feb",3952,2,1838-02-01
1838,"Mar",3974,3,1838-03-01
1838,"Apr",3985,4,1838-04-01
1838,"May",4017,5,1838-05-01
1838,"Jun",4019,6,1838-06-01
1838,"Jul",4003,7,1838-07-01
1838,"Aug",4012,8,1838-08-01
1838,"Sep",4011,9,1838-09-01
1838,"Oct",4001,10,1838-10-01
1838,"Nov",3984,11,1838-11-01
1838,"Dec",3971,12,1838-12-01
1839,"Jan",3952,1,1839-01-01
1839,"Feb",3960,2,1839-02-01
1839,"Mar",3977,3,1839-03-01
1839,"Apr",3965,4,1839-04-01
1839,"May",3946,5,1839-05-01
1839,"Jun",3952,6,1839-06-01
1839,"Jul",3976,7,1839-07-01
1839,"Aug",3957,8,1839-08-01
1839,"Sep",3953,9,1839-09-01
1839,"Oct",3978,10,1839-10-01
1839,"Nov",3955,11,1839-11-01
1839,"Dec",3959,12,1839-12-01
1840,"Jan",3972,1,1840-01-01
1840,"Feb",3953,2,1840-02-01
1840,"Mar",3942,3,1840-03-01
1840,"Apr",3937,4,1840-04-01
1840,"May",3936,5,1840-05-01
1840,"Jun",3938,6,1840-06-01
1840,"Jul",3931,7,1840-07-01
1840,"Aug",3909,8,1840-08-01
1840,"Sep",3903,9,1840-09-01
1840,"Oct",3913,10,1840-10-01
1840,"Nov",3913,11,1840-11-01
1840,"Dec",3906,12,1840-12-01
1841,"Jan",3908,1,1841-01-01
1841,"Feb",3910,2,1841-02-01
1841,"Mar",3914,3,1841-03-01
1841,"Apr",3899,4,1841-04-01
1841,"May",3907,5,1841-05-01
1841,"Jun",3901,6,1841-06-01
1841,"Jul",3887,7,1841-07-01
1841,"Aug",3868,8,1841-08-01
1841,"Sep",3859,9,1841-09-01
1841,"Oct",3877,10,1841-10-01
1841,"Nov",3855,11,1841-11-01
1841,"Dec",3850,12,1841-12-01
1842,"Jan",3849,1,1842-01-01
1842,"Feb",3847,2,1842-02-01
1842,"Mar",3864,3,1842-03-01
1842,"Apr",3858,4,1842-04-01
1842,"May",3850,5,1842-05-01
1842,"Jun",3847,6,1842-06-01
1842,"Jul",3819,7,1842-07-01
1842,"Aug",3829,8,1842-08-01
1842,"Sep",3832,9,1842-09-01
1842,"Oct",3844,10,1842-10-01
1842,"Nov",3826,11,1842-11-01
1842,"Dec",3824,12,1842-12-01
1843,"Jan",3803,1,1843-01-01
1843,"Feb",3811,2,1843-02-01
1843,"Mar",3822,3,1843-03-01
1843,"Apr",3820,4,1843-04-01
1843,"May",3839,5,1843-05-01
1843,"Jun",3809,6,1843-06-01
1843,"Jul",3810,7,1843-07-01
1843,"Aug",3835,8,1843-08-01
1843,"Sep",3817,9,1843-09-01
1843,"Oct",3819,10,1843-10-01
1843,"Nov",3836,11,1843-11-01
1843,"Dec",3825,12,1843-12-01
1844,"Jan",3843,1,1844-01-01
