"Bags","Group","Deviation","count"
"1 and 2","near std","Below -R",34
"3","near std","Below -R",11
"4","near std","Below -R",20
"5","below std","Below -R",30
"6","below std","Below -R",32
"7","below std","Below -R",47
"8","above std","Below -R",11
"9","above std","Below -R",10
"10","above std","Below -R",14
"1 and 2","near std","(-R to -.2)",57
"3","near std","(-R to -.2)",17
"4","near std","(-R to -.2)",22
"5","below std","(-R to -.2)",102
"6","below std","(-R to -.2)",27
"7","below std","(-R to -.2)",65
"8","above std","(-R to -.2)",21
"9","above std","(-R to -.2)",38
"10","above std","(-R to -.2)",13
"1 and 2","near std","(-.2 to -.l)",172
"3","near std","(-.2 to -.l)",100
"4","near std","(-.2 to -.l)",135
"5","below std","(-.2 to -.l)",107
"6","below std","(-.2 to -.l)",267
"7","below std","(-.2 to -.l)",141
"8","above std","(-.2 to -.l)",110
"9","above std","(-.2 to -.l)",103
"10","above std","(-.2 to -.l)",126
"1 and 2","near std","(-.1 to 0)",630
"3","near std","(-.1 to 0)",412
"4","near std","(-.1 to 0)",350
"5","below std","(-.1 to 0)",289
"6","below std","(-.1 to 0)",210
"7","below std","(-.1 to 0)",380
"8","above std","(-.1 to 0)",215
"9","above std","(-.1 to 0)",228
"10","above std","(-.1 to 0)",309
"1 and 2","near std","(0 to .l)",597
"3","near std","(0 to .l)",172
"4","near std","(0 to .l)",184
"5","below std","(0 to .l)",209
"6","below std","(0 to .l)",236
"7","below std","(0 to .l)",157
"8","above std","(0 to .l)",361
"9","above std","(0 to .l)",425
"10","above std","(0 to .l)",290
"1 and 2","near std","(.1 to .2)",366
"3","near std","(.1 to .2)",218
"4","near std","(.1 to .2)",222
"5","below std","(.1 to .2)",184
"6","below std","(.1 to .2)",144
"7","below std","(.1 to .2)",135
"8","above std","(.1 to .2)",156
"9","above std","(.1 to .2)",140
"10","above std","(.1 to .2)",168
"1 and 2","near std","(.2 to R)",116
"3","near std","(.2 to R)",57
"4","near std","(.2 to R)",50
"5","below std","(.2 to R)",50
"6","below std","(.2 to R)",56
"7","below std","(.2 to R)",50
"8","above std","(.2 to R)",71
"9","above std","(.2 to R)",36
"10","above std","(.2 to R)",50
"1 and 2","near std","Above R",28
"3","near std","Above R",13
"4","near std","Above R",17
"5","below std","Above R",29
"6","below std","Above R",28
"7","below std","Above R",25
"8","above std","Above R",55
"9","above std","Above R",20
"10","above std","Above R",30
