"ID","year","international","colonial","revolution","nat.grp","grp.grpSame","grp.grpDif","numGroups","months","pairs","monthsPairs","logDeaths","deaths","exchangeGoods","obstacleGoods","intermarriageOK","intermarriageBan","simBody","difBody","simDress","difDress","eqWealth","difWealth","simMariagCust","difMariagCust","simRelig","difRelig","philanthropy","restrictMigration","sameLanguage","difLanguage","simArtSci","travel","ignorance","simPersLiberty","difPersLiberty","sameGov","sameGovYrs","prevConflict","prevConflictYrs","chronicFighting","persFriendship","persResentment","difLegal","nonintervention","thirdParty","supportEnemy","attackAlly","rivalsLand","rivalsTrade","churchPower","noExtension","territory","habitation","minerals","StrongHold","taxation","loot","objectedWar","enjoyFight","pride","overpopulated","fightForPay","joinWinner","otherDesiredWar","propaganda3rd","protection","sympathy","debt","prevAllies","yearsAllies","intermingled","interbreeding","propadanda","orderedObey","commerceOther","feltStronger","competeIntellect","insecureGovt","prepWar","RegionalError","CasualtyError","Auxiliaries"
1,1914,1,0,0,0,0,0,16,52,44,1436,7.2,15900000,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0",0,"0","0","0","0","0","0","0","0","0",3,3,2
2,1914,1,0,0,0,0,0,17,43,44,1436,7.2,15900000,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",14,"0","0","0","0","0","0","0","0","2",3,3,2
3,1914,1,0,0,0,0,0,17,52,44,1436,7.2,15900000,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0",0,"1",55,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",14,"0","0","0","0","0","0","0","0","2",3,3,2
4,1914,0,0,0,1,0,0,15,53,44,1436,7.2,15900000,"0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0","0","0","0","0","0",2,3,1
5,1914,1,0,0,0,0,0,17,52,44,1436,7.2,15900000,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0","0","0","0","0","2",3,3,2
6,1914,0,0,0,1,0,0,16,33,44,1436,7.2,15900000,"0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0","0","0","0","0","0",2,3,1
7,1918,1,0,0,0,0,0,17,1,44,1436,7.2,15900000,"0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",14,"0","0","0","0","0","0","0","0","0",2,3,2
8,1915,1,0,0,0,0,0,17,642,44,1436,7.2,15900000,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0",0,"1",48,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",15,"0","0","0","0","0","0","0","0","0",3,3,2
9,1916,1,0,0,0,0,0,15,32,44,1436,7.2,15900000,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0","0","0","0","0","0",3,3,2
10,1918,0,0,0,1,0,0,16,1,44,1436,7.2,15900000,"0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0","0","0","0","0","0",2,3,2
11,1916,1,0,0,0,0,0,16,16,44,1436,7.2,15900000,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0","0","0","0","0","0",3,3,2
12,1917,0,0,1,0,0,0,14,17,44,1436,7.2,15900000,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1",266,"0",0,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0","0","0","0","0","0",3,3,2
13,1917,1,0,0,0,0,0,15,11,44,1436,7.2,15900000,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",17,"0","0","0","0","0","0","0","0","0",3,3,2
14,1914,1,0,0,0,0,0,17,52,44,1436,7.2,15900000,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0","0","0","0","0","0",3,3,2
15,1914,1,0,0,0,0,0,18,43,44,1436,7.2,15900000,"2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",14,"0","0","0","0","0","0","0","0","2",3,3,2
16,1914,1,0,0,0,0,0,18,52,44,1436,7.2,15900000,"2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0",0,"1",43,"0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",14,"0","0","0","0","0","0","0","0","2",3,3,2
17,1914,0,0,0,1,0,0,16,53,44,1436,7.2,15900000,"0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0","0","0","0","0","0",2,3,1
18,1914,1,0,0,0,0,0,15,51,44,1436,7.2,15900000,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0","0","0","0","0","0",3,3,2
19,1914,1,0,0,0,0,0,18,52,44,1436,7.2,15900000,"2","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","1","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0","0","0","0","0","2",3,3,2
20,1914,0,0,0,1,0,0,17,33,44,1436,7.2,15900000,"0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0","0","0","0","0","0",2,3,1
21,1914,1,0,0,0,0,0,18,52,44,1436,7.2,15900000,"0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",14,"0","0","0","0","0","0","0","0","0",2,3,2
22,1916,1,0,0,0,0,0,18,27,44,1436,7.2,15900000,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",16,"0","0","0","0","0","0","0","0","0",3,3,2
23,1916,1,0,0,0,0,0,16,32,44,1436,7.2,15900000,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0","0","0","0","0","0",3,3,2
24,1916,0,0,0,1,0,0,17,29,44,1436,7.2,15900000,"0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0","0","0","0","0","0",2,3,2
25,1916,1,0,0,0,0,0,17,16,44,1436,7.2,15900000,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0","0","0","0","0","0",3,3,2
26,1917,1,0,0,0,0,0,17,17,44,1436,7.2,15900000,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0",0,"0",0,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0","0","0","0","0","0",3,3,2
27,1917,1,0,0,0,0,0,16,19,44,1436,7.2,15900000,"2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0",0,"0",0,"0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1",17,"0","0","0","0","0","0","0","0","0",3,3,2
28,1914,1,0,0,0,0,0,13,40,44,1436,7.2,15900000,"0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0",0,"1",36,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0","0","0","0","0","0",2,3,2
