"BPchange","Dose","Run","Treatment","Animal"
0.5,6.25,"C1","Control","R1"
4.5,12.5,"C1","Control","R1"
10,25,"C1","Control","R1"
26,50,"C1","Control","R1"
37,100,"C1","Control","R1"
32,200,"C1","Control","R1"
1,6.25,"C2","Control","R2"
1.25,12.5,"C2","Control","R2"
4,25,"C2","Control","R2"
12,50,"C2","Control","R2"
27,100,"C2","Control","R2"
29,200,"C2","Control","R2"
0.75,6.25,"C3","Control","R3"
3,12.5,"C3","Control","R3"
3,25,"C3","Control","R3"
14,50,"C3","Control","R3"
22,100,"C3","Control","R3"
24,200,"C3","Control","R3"
1.25,6.25,"C4","Control","R4"
1.5,12.5,"C4","Control","R4"
6,25,"C4","Control","R4"
19,50,"C4","Control","R4"
33,100,"C4","Control","R4"
33,200,"C4","Control","R4"
1.5,6.25,"C5","Control","R5"
1.5,12.5,"C5","Control","R5"
5,25,"C5","Control","R5"
16,50,"C5","Control","R5"
20,100,"C5","Control","R5"
18,200,"C5","Control","R5"
1.25,6.25,"M1","MDL","R1"
0.75,12.5,"M1","MDL","R1"
4,25,"M1","MDL","R1"
9,50,"M1","MDL","R1"
25,100,"M1","MDL","R1"
37,200,"M1","MDL","R1"
1.4,6.25,"M2","MDL","R2"
1.7,12.5,"M2","MDL","R2"
1,25,"M2","MDL","R2"
2,50,"M2","MDL","R2"
15,100,"M2","MDL","R2"
28,200,"M2","MDL","R2"
0.75,6.25,"M3","MDL","R3"
2.3,12.5,"M3","MDL","R3"
3,25,"M3","MDL","R3"
5,50,"M3","MDL","R3"
26,100,"M3","MDL","R3"
25,200,"M3","MDL","R3"
2.6,6.25,"M4","MDL","R4"
1.2,12.5,"M4","MDL","R4"
2,25,"M4","MDL","R4"
3,50,"M4","MDL","R4"
11,100,"M4","MDL","R4"
22,200,"M4","MDL","R4"
2.4,6.25,"M5","MDL","R5"
2.5,12.5,"M5","MDL","R5"
1.5,25,"M5","MDL","R5"
2,50,"M5","MDL","R5"
9,100,"M5","MDL","R5"
19,200,"M5","MDL","R5"
