"start","x","y"
0,10.29638,16.4221
1,9.433622,18.88881
0,2.999976,16.31577
1,10.29644,16.42222
0,11.19439,15.85302
1,12.65501,18.88887
0,10.29642,16.42217
1,11.19425,15.85301
0,15.05214,14.265
1,13.80065,18.88889
0,11.19436,15.85294
1,11.79147,14.72941
0,11.79152,14.72931
1,15.05213,14.26511
0,15.05211,14.26512
1,16.55607,13.69435
0,16.55599,13.69432
1,16.8419,13.74627
0,16.84187,13.74626
1,20.00004,15.32476
0,3.00013,13.37388
1,11.21088,14.02118
0,11.21097,14.02119
1,11.79148,14.72925
0,10.15989,10.22504
1,11.21096,14.02117
0,6.16874,8.878537
1,10.15998,10.22513
0,2.99999,8.822616
1,6.168661,8.878525
0,10.15989,10.22512
1,11.75367,9.516797
0,11.75355,9.516795
1,14.2893,10.15603
0,14.28942,10.15605
1,16.55617,13.69444
0,12.64609,4.696466
1,11.75361,9.516917
0,12.4968,4.361443
1,12.64613,4.6965
0,6.168629,8.878581
1,12.49685,4.361301
0,15.59632,7.213314
1,14.28942,10.15607
0,12.64616,4.696478
1,15.59637,7.213228
0,18.17317,6.949909
1,16.84187,13.74638
0,15.59624,7.213232
1,18.17319,6.949867
0,18.17319,6.949864
1,20.00007,5.816855
0,12.49676,4.361416
1,12.48624,3.000128
