"year","quarter","delay","dud","time","y"
1983,3,0,0,1,2
1983,3,2,0,1,6
1983,3,5,0,1,0
1983,3,8,0,1,1
1983,3,11,0,1,1
1983,3,14,0,1,0
1983,3,17,0,1,0
1983,3,20,0,1,1
1983,3,23,0,1,0
1983,3,26,0,1,0
1983,3,29,0,1,0
1983,3,32,0,1,0
1983,3,35,0,1,0
1983,3,38,0,1,0
1983,3,41,0,1,1
1983,4,0,0,2,2
1983,4,2,0,2,7
1983,4,5,0,2,1
1983,4,8,0,2,1
1983,4,11,0,2,1
1983,4,14,0,2,0
1983,4,17,0,2,0
1983,4,20,0,2,0
1983,4,23,0,2,0
1983,4,26,0,2,0
1983,4,29,0,2,0
1983,4,32,0,2,0
1983,4,35,0,2,0
1983,4,38,0,2,0
1983,4,41,0,2,0
1984,1,0,0,3,4
1984,1,2,0,3,4
1984,1,5,0,3,0
1984,1,8,0,3,1
1984,1,11,0,3,0
1984,1,14,0,3,2
1984,1,17,0,3,0
1984,1,20,0,3,0
1984,1,23,0,3,0
1984,1,26,0,3,0
1984,1,29,0,3,2
1984,1,32,0,3,1
1984,1,35,0,3,0
1984,1,38,0,3,0
1984,1,41,0,3,0
1984,2,0,0,4,0
1984,2,2,0,4,10
1984,2,5,0,4,0
1984,2,8,0,4,1
1984,2,11,0,4,1
1984,2,14,0,4,0
1984,2,17,0,4,0
1984,2,20,0,4,0
1984,2,23,0,4,1
1984,2,26,0,4,1
1984,2,29,0,4,1
1984,2,32,0,4,0
1984,2,35,0,4,0
1984,2,38,0,4,0
1984,2,41,0,4,0
1984,3,0,0,5,6
1984,3,2,0,5,17
1984,3,5,0,5,3
1984,3,8,0,5,1
1984,3,11,0,5,1
1984,3,14,0,5,0
1984,3,17,0,5,0
1984,3,20,0,5,0
1984,3,23,0,5,0
1984,3,26,0,5,0
1984,3,29,0,5,0
1984,3,32,0,5,1
1984,3,35,0,5,0
1984,3,38,0,5,0
1984,3,41,0,5,1
1984,4,0,0,6,5
1984,4,2,0,6,22
1984,4,5,0,6,1
1984,4,8,0,6,5
1984,4,11,0,6,2
1984,4,14,0,6,1
1984,4,17,0,6,0
1984,4,20,0,6,2
1984,4,23,0,6,1
1984,4,26,0,6,0
1984,4,29,0,6,0
1984,4,32,0,6,0
1984,4,35,0,6,0
1984,4,38,0,6,0
1984,4,41,0,6,0
1985,1,0,0,7,4
1985,1,2,0,7,23
1985,1,5,0,7,4
1985,1,8,0,7,5
1985,1,11,0,7,2
1985,1,14,0,7,1
1985,1,17,0,7,3
1985,1,20,0,7,0
1985,1,23,0,7,1
1985,1,26,0,7,2
1985,1,29,0,7,0
1985,1,32,0,7,0
1985,1,35,0,7,0
1985,1,38,0,7,0
1985,1,41,0,7,2
1985,2,0,0,8,11
1985,2,2,0,8,11
1985,2,5,0,8,6
1985,2,8,0,8,1
1985,2,11,0,8,1
1985,2,14,0,8,5
1985,2,17,0,8,0
1985,2,20,0,8,1
1985,2,23,0,8,1
1985,2,26,0,8,1
1985,2,29,0,8,1
1985,2,32,0,8,0
1985,2,35,0,8,0
1985,2,38,0,8,0
1985,2,41,0,8,1
1985,3,0,0,9,9
1985,3,2,0,9,22
1985,3,5,0,9,6
1985,3,8,0,9,2
1985,3,11,0,9,4
1985,3,14,0,9,3
1985,3,17,0,9,3
1985,3,20,0,9,4
1985,3,23,0,9,7
1985,3,26,0,9,1
1985,3,29,0,9,2
1985,3,32,0,9,0
1985,3,35,0,9,0
1985,3,38,0,9,0
1985,3,41,0,9,0
1985,4,0,0,10,2
1985,4,2,0,10,28
1985,4,5,0,10,8
1985,4,8,0,10,8
1985,4,11,0,10,5
1985,4,14,0,10,2
1985,4,17,0,10,2
1985,4,20,0,10,4
1985,4,23,0,10,3
1985,4,26,0,10,0
1985,4,29,0,10,1
1985,4,32,0,10,1
1985,4,35,0,10,0
1985,4,38,0,10,0
1985,4,41,0,10,1
1986,1,0,0,11,5
1986,1,2,0,11,26
1986,1,5,0,11,14
1986,1,8,0,11,6
1986,1,11,0,11,9
1986,1,14,0,11,2
1986,1,17,0,11,5
1986,1,20,0,11,5
1986,1,23,0,11,5
1986,1,26,0,11,1
1986,1,29,0,11,2
1986,1,32,0,11,0
1986,1,35,0,11,0
1986,1,38,0,11,0
1986,1,41,0,11,2
1986,2,0,0,12,7
1986,2,2,0,12,49
1986,2,5,0,12,17
1986,2,8,0,12,11
1986,2,11,0,12,4
1986,2,14,0,12,7
1986,2,17,0,12,5
1986,2,20,0,12,7
1986,2,23,0,12,3
1986,2,26,0,12,1
1986,2,29,0,12,2
1986,2,32,0,12,2
1986,2,35,0,12,0
1986,2,38,0,12,1
1986,2,41,0,12,4
1986,3,0,0,13,13
1986,3,2,0,13,37
1986,3,5,0,13,21
1986,3,8,0,13,9
1986,3,11,0,13,3
1986,3,14,0,13,5
1986,3,17,0,13,7
1986,3,20,0,13,3
1986,3,23,0,13,1
1986,3,26,0,13,3
1986,3,29,0,13,1
1986,3,32,0,13,0
1986,3,35,0,13,0
1986,3,38,0,13,0
1986,3,41,0,13,6
1986,4,0,0,14,12
1986,4,2,0,14,53
1986,4,5,0,14,16
1986,4,8,0,14,21
1986,4,11,0,14,2
1986,4,14,0,14,7
1986,4,17,0,14,0
1986,4,20,0,14,7
1986,4,23,0,14,0
1986,4,26,0,14,0
