"id","year","stint","team","lg","g","ab","r","h","X2b","X3b","hr","rbi","sb","cs","bb","so","ibb","hbp","sh","sf","gidp"
"ansonca01",1871,1,"RC1","",25,120,29,39,11,3,0,16,6,2,2,1,NA,NA,NA,NA,NA
"forceda01",1871,1,"WS3","",32,162,45,45,9,4,0,29,8,0,4,0,NA,NA,NA,NA,NA
"mathebo01",1871,1,"FW1","",19,89,15,24,3,1,0,10,2,1,2,0,NA,NA,NA,NA,NA
"startjo01",1871,1,"NY2","",33,161,35,58,5,1,1,34,4,2,3,0,NA,NA,NA,NA,NA
"suttoez01",1871,1,"CL1","",29,128,35,45,3,7,3,23,3,1,1,0,NA,NA,NA,NA,NA
"whitede01",1871,1,"CL1","",29,146,40,47,6,5,1,21,2,2,4,1,NA,NA,NA,NA,NA
"yorkto01",1871,1,"TRO","",29,145,36,37,5,7,2,23,2,2,9,1,NA,NA,NA,NA,NA
"ansonca01",1872,1,"PH1","",46,217,60,90,10,7,0,50,6,6,16,3,NA,NA,NA,NA,NA
"burdoja01",1872,1,"BR2","",37,174,26,46,3,0,0,15,0,1,1,1,NA,NA,NA,NA,NA
"forceda01",1872,1,"TRO","",25,130,40,53,11,0,0,16,2,2,1,0,NA,NA,NA,NA,NA
"forceda01",1872,2,"BL1","",19,95,29,41,2,2,0,13,3,0,1,0,NA,NA,NA,NA,NA
"hinespa01",1872,1,"WS4","",11,49,9,12,1,0,0,5,0,0,0,0,NA,NA,NA,NA,NA
"mathebo01",1872,1,"BL1","",50,223,36,50,1,0,0,21,1,1,3,2,NA,NA,NA,NA,NA
"nelsoca01",1872,1,"TRO","",4,20,2,7,0,0,0,4,0,0,0,2,NA,NA,NA,NA,NA
"nelsoca01",1872,2,"BR1","",18,76,12,19,2,0,0,8,1,0,2,2,NA,NA,NA,NA,NA
"orourji01",1872,1,"MID","",23,101,25,31,4,1,0,12,1,0,2,0,NA,NA,NA,NA,NA
"startjo01",1872,1,"NY2","",55,282,62,76,4,0,0,50,3,3,0,0,NA,NA,NA,NA,NA
"suttoez01",1872,1,"CL1","",22,107,30,30,6,1,0,10,1,0,1,1,NA,NA,NA,NA,NA
"whitede01",1872,1,"CL1","",22,109,21,37,2,2,0,22,0,0,4,1,NA,NA,NA,NA,NA
"yorkto01",1872,1,"BL1","",51,248,66,66,10,4,1,41,2,1,4,1,NA,NA,NA,NA,NA
"ansonca01",1873,1,"PH1","",52,254,53,101,9,2,0,36,0,2,5,1,NA,NA,NA,NA,NA
"burdoja01",1873,1,"BR2","",55,245,56,62,7,1,2,36,3,1,7,4,NA,NA,NA,NA,NA
"forceda01",1873,1,"BL1","",49,234,77,86,8,1,0,31,1,0,9,0,NA,NA,NA,NA,NA
"gerhajo01",1873,1,"WS5","",13,56,6,12,3,0,0,7,0,0,0,5,NA,NA,NA,NA,NA
"hinespa01",1873,1,"WS5","",39,181,33,60,6,3,1,29,0,1,1,1,NA,NA,NA,NA,NA
"mathebo01",1873,1,"NY2","",52,223,40,43,3,3,0,13,1,1,10,3,NA,NA,NA,NA,NA
"nelsoca01",1873,1,"NY2","",36,168,28,55,4,1,0,22,2,0,1,2,NA,NA,NA,NA,NA
"orourji01",1873,1,"BS1","",57,280,79,98,19,3,1,48,4,2,14,1,NA,NA,NA,NA,NA
"snydepo01",1873,1,"WS5","",28,108,16,21,2,0,0,4,0,1,3,3,NA,NA,NA,NA,NA
"startjo01",1873,1,"NY2","",53,251,42,67,8,3,1,28,1,0,4,0,NA,NA,NA,NA,NA
"suttoez01",1873,1,"PH1","",51,242,51,81,7,6,0,33,1,3,2,2,NA,NA,NA,NA,NA
"whitede01",1873,1,"BS1","",60,310,79,121,15,6,0,66,6,2,0,2,NA,NA,NA,NA,NA
"yorkto01",1873,1,"BL1","",57,277,70,84,10,7,2,49,3,1,3,3,NA,NA,NA,NA,NA
