"day","time","temp","activ"
307,930,36.58,0
307,940,36.73,0
307,950,36.93,0
307,1000,37.15,0
307,1010,37.23,0
307,1020,37.24,0
307,1030,37.24,0
307,1040,36.9,0
307,1050,36.95,0
307,1100,36.89,0
307,1110,36.95,0
307,1120,37,0
307,1130,36.9,0
307,1140,36.99,0
307,1150,36.99,0
307,1200,37.01,0
307,1210,37.04,0
307,1220,37.04,0
307,1230,37.14,0
307,1240,37.07,0
307,1250,36.98,0
307,1300,37.01,0
307,1310,36.97,0
307,1320,36.97,0
307,1330,37.12,0
307,1340,37.13,0
307,1350,37.14,0
307,1400,37.15,0
307,1410,37.17,0
307,1420,37.12,0
307,1430,37.12,0
307,1440,37.17,0
307,1450,37.28,0
307,1500,37.28,0
307,1510,37.44,0
307,1520,37.51,0
307,1530,37.64,0
307,1540,37.51,0
307,1550,37.98,1
307,1600,38.02,1
307,1610,38,1
307,1620,38.24,1
307,1630,38.1,1
307,1640,38.24,1
307,1650,38.11,1
307,1700,38.02,1
307,1710,38.11,1
307,1720,38.01,1
307,1730,37.91,1
307,1740,37.96,1
307,1750,38.03,1
307,1800,38.17,1
307,1810,38.19,1
307,1820,38.18,1
307,1830,38.15,1
307,1840,38.04,1
307,1850,37.96,1
307,1900,37.84,1
307,1910,37.83,1
307,1920,37.84,1
307,1930,37.74,1
307,1940,37.76,1
307,1950,37.76,1
307,2000,37.64,1
307,2010,37.63,1
307,2020,38.06,1
307,2030,38.19,1
307,2040,38.35,1
307,2050,38.25,1
307,2100,37.86,1
307,2110,37.95,1
307,2120,37.95,1
307,2130,37.76,1
307,2140,37.6,1
307,2150,37.89,1
307,2200,37.86,1
307,2210,37.71,1
307,2220,37.78,1
307,2230,37.82,1
307,2240,37.76,1
307,2250,37.81,1
307,2300,37.84,1
307,2310,38.01,1
307,2320,38.1,1
307,2330,38.15,1
307,2340,37.92,1
307,2350,37.64,1
308,0,37.7,1
308,10,37.46,1
308,20,37.41,1
308,30,37.46,1
308,40,37.56,1
308,50,37.55,1
308,100,37.75,1
308,110,37.76,1
308,120,37.73,1
308,130,37.77,1
308,140,38.01,1
308,150,38.04,1
308,200,38.07,1
