"n","r","x","var","block"
87,76,19,"1","A"
119,8,14,"2","A"
94,74,9,"3","A"
95,11,12,"4","A"
134,0,12,"5","A"
92,0,3,"6","A"
118,11,17,"7","A"
70,32,3,"8","A"
128,33,3,"9","A"
85,14,21,"10","A"
77,3,8,"11","A"
29,3,3,"12","A"
109,28,7,"13","A"
209,63,10,"14","A"
89,3,7,"15","A"
171,16,14,"16","A"
243,11,17,"17","A"
109,2,14,"18","A"
66,8,18,"19","A"
177,62,12,"20","A"
124,14,18,"21","A"
159,34,10,"22","A"
68,0,6,"23","A"
136,13,12,"24","A"
86,7,10,"25","A"
75,12,16,"26","A"
100,0,13,"27","A"
147,22,18,"28","A"
49,5,6,"29","A"
111,17,13,"30","A"
134,0,8,"31","A"
179,15,32,"32","A"
120,20,5,"33","A"
169,27,6,"34","A"
45,0,2,"35","A"
105,0,10,"36","A"
65,6,7,"37","A"
192,25,15,"38","A"
92,2,18,"39","A"
212,112,12,"40","A"
79,9,10,"41","A"
119,10,15,"42","A"
97,0,10,"43","A"
129,1,9,"44","A"
72,27,8,"45","A"
70,70,12,"1","B"
125,21,13,"2","B"
105,95,9,"3","B"
104,21,12,"4","B"
115,6,25,"5","B"
195,63,17,"6","B"
111,7,15,"7","B"
131,22,6,"8","B"
108,77,3,"9","B"
121,12,21,"10","B"
74,0,4,"11","B"
111,26,5,"12","B"
120,50,10,"13","B"
231,105,12,"14","B"
113,18,12,"15","B"
131,32,15,"16","B"
222,9,9,"17","B"
109,0,12,"18","B"
161,36,19,"19","B"
112,9,14,"20","B"
121,17,16,"21","B"
191,110,10,"22","B"
85,0,8,"23","B"
143,14,17,"24","B"
82,7,12,"25","B"
105,22,13,"26","B"
140,8,15,"27","B"
167,7,11,"28","B"
38,0,3,"29","B"
81,13,11,"30","B"
162,1,6,"31","B"
243,11,18,"32","B"
66,18,5,"33","B"
120,25,6,"34","B"
133,0,6,"35","B"
119,10,15,"36","B"
92,43,6,"37","B"
162,6,26,"38","B"
131,17,26,"39","B"
108,48,9,"40","B"
46,0,5,"41","B"
147,16,20,"42","B"
130,11,14,"43","B"
148,0,17,"44","B"
100,64,17,"45","B"
73,54,25,"1","C"
130,10,12,"2","C"
71,44,6,"3","C"
104,15,13,"4","C"
195,3,19,"5","C"
99,21,11,"6","C"
63,8,12,"7","C"
85,28,5,"8","C"
59,11,4,"9","C"
113,13,28,"10","C"
63,0,3,"11","C"
50,3,1,"12","C"
102,36,10,"13","C"
223,59,10,"14","C"
91,5,15,"15","C"
169,4,7,"16","C"
130,57,7,"17","C"
103,0,8,"18","C"
98,22,17,"19","C"
173,92,17,"20","C"
152,21,22,"21","C"
137,57,7,"22","C"
33,0,5,"23","C"
123,24,10,"24","C"
88,0,11,"25","C"
99,8,9,"26","C"
153,1,9,"27","C"
154,6,16,"28","C"
78,4,12,"29","C"
80,6,17,"30","C"
161,0,13,"31","C"
184,7,25,"32","C"
69,18,2,"33","C"
141,10,8,"34","C"
113,8,4,"35","C"
132,2,10,"36","C"
63,24,3,"37","C"
161,22,19,"38","C"
111,10,20,"39","C"
78,8,7,"40","C"
71,0,6,"41","C"
118,16,20,"42","C"
84,6,8,"43","C"
175,0,12,"44","C"
143,42,24,"45","C"
59,39,14,"1","D"
177,26,15,"2","D"
48,38,3,"3","D"
165,41,11,"4","D"
150,5,15,"5","D"
135,47,19,"6","D"
97,15,11,"7","D"
75,18,3,"8","D"
51,11,3,"9","D"
135,28,19,"10","D"
102,0,6,"11","D"
57,39,4,"12","D"
58,13,9,"13","D"
157,23,9,"14","D"
94,1,13,"15","D"
172,69,10,"16","D"
105,24,2,"17","D"
147,1,10,"18","D"
94,30,36,"19","D"
106,23,10,"20","D"
137,15,13,"21","D"
243,131,17,"22","D"
137,4,10,"23","D"
104,2,17,"24","D"
116,3,13,"25","D"
102,13,10,"26","D"
151,3,15,"27","D"
113,7,15,"28","D"
67,3,8,"29","D"
111,13,12,"30","D"
132,0,12,"31","D"
220,6,14,"32","D"
67,2,4,"33","D"
146,10,9,"34","D"
110,0,4,"35","D"
93,2,11,"36","D"
79,11,3,"37","D"
167,36,26,"38","D"
144,16,14,"39","D"
182,63,17,"40","D"
61,2,8,"41","D"
154,12,35,"42","D"
98,0,8,"43","D"
129,9,14,"44","D"
130,24,20,"45","D"
