"Lab","Spc","Bat","Conc"
"L1","S1","B1",0.29
"L1","S1","B1",0.33
"L1","S1","B2",0.33
"L1","S1","B2",0.32
"L1","S1","B3",0.34
"L1","S1","B3",0.31
"L1","S2","B1",0.13
"L1","S2","B1",0.14
"L1","S2","B2",0.16
"L1","S2","B2",0.11
"L1","S2","B3",0.14
"L1","S2","B3",0.13
"L1","S3","B1",0.68
"L1","S3","B1",0.71
"L1","S3","B2",0.86
"L1","S3","B2",0.76
"L1","S3","B3",0.72
"L1","S3","B3",0.73
"L1","S4","B1",0.5
"L1","S4","B1",0.47
"L1","S4","B2",0.64
"L1","S4","B2",0.53
"L1","S4","B3",0.49
"L1","S4","B3",0.5
"L1","S5","B1",6.6
"L1","S5","B1",7.08
"L1","S5","B2",7.56
"L1","S5","B2",7.14
"L1","S5","B3",7.19
"L1","S5","B3",6.64
"L1","S6","B1",1.36
"L1","S6","B1",1.34
"L1","S6","B2",1.51
"L1","S6","B2",1.44
"L1","S6","B3",1.52
"L1","S6","B3",1.3
"L1","S7","B1",1.06
"L1","S7","B1",0.88
"L1","S7","B2",1.01
"L1","S7","B2",1.09
"L1","S7","B3",0.87
"L1","S7","B3",1.02
"L2","S1","B1",0.4
"L2","S1","B1",0.4
"L2","S1","B2",0.43
"L2","S1","B2",0.36
"L2","S1","B3",0.42
"L2","S1","B3",0.4
"L2","S2","B1",0.22
"L2","S2","B1",0.22
"L2","S2","B2",0.24
"L2","S2","B2",0.19
"L2","S2","B3",0.21
"L2","S2","B3",0.22
"L2","S3","B1",1.03
"L2","S3","B1",1.05
"L2","S3","B2",1.05
"L2","S3","B2",1.16
"L2","S3","B3",0.97
"L2","S3","B3",1.12
"L2","S4","B1",0.81
"L2","S4","B1",0.57
"L2","S4","B2",0.67
"L2","S4","B2",0.6
"L2","S4","B3",0.66
"L2","S4","B3",0.8
"L2","S5","B1",8.4
"L2","S5","B1",8.6
"L2","S5","B2",7.54
"L2","S5","B2",8.5
"L2","S5","B3",8.74
"L2","S5","B3",8.22
"L2","S6","B1",2.12
"L2","S6","B1",2.44
"L2","S6","B2",1.49
"L2","S6","B2",1.7
"L2","S6","B3",1.73
"L2","S6","B3",1.64
"L2","S7","B1",1.5
"L2","S7","B1",1.07
"L2","S7","B2",1.23
"L2","S7","B2",0.93
"L2","S7","B3",1.32
"L2","S7","B3",1.25
"L3","S1","B1",0.4
"L3","S1","B1",0.35
"L3","S1","B2",0.38
"L3","S1","B2",0.32
"L3","S1","B3",0.38
"L3","S1","B3",0.33
"L3","S2","B1",0.25
"L3","S2","B1",0.2
"L3","S2","B2",0.16
"L3","S2","B2",0.16
"L3","S2","B3",0.25
"L3","S2","B3",0.18
"L3","S3","B1",0.83
"L3","S3","B1",0.66
"L3","S3","B2",0.89
"L3","S3","B2",0.92
"L3","S3","B3",0.75
"L3","S3","B3",0.75
"L3","S4","B1",0.5
"L3","S4","B1",0.5
"L3","S4","B2",0.58
"L3","S4","B2",0.67
"L3","S4","B3",0.5
"L3","S4","B3",0.5
"L3","S5","B1",6.9
"L3","S5","B1",6.7
"L3","S5","B2",7.1
"L3","S5","B2",7.1
"L3","S5","B3",6.3
"L3","S5","B3",6.7
"L3","S6","B1",1.5
"L3","S6","B1",1.5
"L3","S6","B2",1.5
"L3","S6","B2",1.6
"L3","S6","B3",1.3
"L3","S6","B3",1.5
"L3","S7","B1",1
"L3","S7","B1",1
"L3","S7","B2",1.1
"L3","S7","B2",1.1
"L3","S7","B3",0.75
"L3","S7","B3",0.9
"L4","S1","B1",0.9
