"Price","Country","Reliability","Mileage","Type"
11950,"Japan","Much better",NA,"Small"
6851,"Japan",NA,NA,"Small"
6995,"USA","Much worse",NA,"Small"
8895,"USA","better",33,"Small"
7402,"USA","worse",33,"Small"
6319,"Korea","better",37,"Small"
6695,"Japan",NA,NA,"Small"
10125,"Japan/USA","Much better",NA,"Small"
6635,"Japan/USA","Much better",32,"Small"
5899,"Korea","worse",NA,"Small"
6599,"Japan","Much better",32,"Small"
8672,"Mexico","better",26,"Small"
5899,"Korea","worse",NA,"Small"
7399,"Japan/USA","Much better",33,"Small"
7254,"Korea","Much worse",28,"Small"
9599,"Japan","Much better",25,"Small"
5866,"Japan",NA,34,"Small"
8748,"Japan/USA","Much better",29,"Small"
6488,"Japan","Much better",35,"Small"
7225,"Brazil",NA,NA,"Small"
8695,"Mexico","average",NA,"Small"
9995,"Germany","average",26,"Small"
10995,"USA","Much worse",NA,"Sporty"
11545,"USA","Much worse",20,"Sporty"
31979,"USA","Much worse",NA,"Sporty"
9745,"USA","Much worse",27,"Sporty"
12895,"USA","Much worse",NA,"Sporty"
12995,"USA",NA,NA,"Sporty"
9456,"USA","Much worse",NA,"Sporty"
12164,"USA","Much worse",19,"Sporty"
11470,"USA","average",30,"Sporty"
14726,"USA","average",NA,"Sporty"
10390,"Japan",NA,NA,"Sporty"
9410,"Japan","Much better",33,"Sporty"
13945,"Japan","Much better",27,"Sporty"
13800,"Japan",NA,NA,"Sporty"
12279,"Japan/USA","Much better",NA,"Sporty"
17880,"Japan","Much better",NA,"Sporty"
13249,"Japan","average",24,"Sporty"
27900,"Japan",NA,NA,"Sporty"
12249,"Japan","average",NA,"Sporty"
10855,"USA",NA,26,"Sporty"
41990,"Germany",NA,NA,"Sporty"
13071,"Japan",NA,28,"Sporty"
12268,"Japan",NA,NA,"Sporty"
22860,"Japan","better",NA,"Sporty"
17900,"Germany",NA,NA,"Sporty"
9995,"Mexico",NA,NA,"Sporty"
18900,"Germany",NA,27,"Compact"
23990,"Germany",NA,NA,"Compact"
24650,"Germany","better",NA,"Compact"
10565,"USA","worse",23,"Compact"
10320,"USA","Much worse",26,"Compact"
8620,"USA","Much worse",NA,"Compact"
10945,"USA","better",25,"Compact"
8845,"USA","average",NA,"Compact"
9483,"USA","worse",24,"Compact"
12145,"Japan/USA","Much better",26,"Compact"
12459,"Japan/USA","better",24,"Compact"
31600,"Germany","average",NA,"Compact"
10989,"Japan","Much better",25,"Compact"
17879,"Japan","better",21,"Compact"
11650,"Japan","Much better",21,"Compact"
9995,"USA","worse",23,"Compact"
15930,"France",NA,24,"Compact"
16995,"Sweden","worse",NA,"Compact"
26945,"Sweden","worse",NA,"Compact"
11499,"Japan/USA","Much better",23,"Compact"
11588,"Japan/USA","Much better",27,"Compact"
18450,"Sweden","average",23,"Compact"
24760,"Japan","Much better",20,"Medium"
26900,"Germany",NA,NA,"Medium"
33200,"Germany",NA,NA,"Medium"
13150,"USA","average",21,"Medium"
23040,"USA","average",NA,"Medium"
28855,"USA","average",NA,"Medium"
12140,"USA",NA,NA,"Medium"
25495,"USA","average",NA,"Medium"
12495,"USA","worse",22,"Medium"
16342,"USA","average",22,"Medium"
12995,"USA","average",NA,"Medium"
15350,"USA","worse",22,"Medium"
12640,"USA","Much worse",NA,"Medium"
13195,"USA","average",22,"Medium"
14980,"USA","Much worse",23,"Medium"
9999,"Korea",NA,23,"Medium"
38000,"Japan",NA,NA,"Medium"
35000,"Japan",NA,NA,"Medium"
29422,"USA","worse",NA,"Medium"
29246,"USA","Much worse",NA,"Medium"
23300,"Japan","Much better",21,"Medium"
39950,"Germany","Much worse",NA,"Medium"
17899,"Japan","Much better",22,"Medium"
13150,"USA","worse",21,"Medium"
14495,"USA",NA,21,"Medium"
19945,"France",NA,NA,"Medium"
25995,"Sweden",NA,NA,"Medium"
23550,"England",NA,NA,"Medium"
21498,"Japan","average",23,"Medium"
21700,"Sweden","average",NA,"Medium"
20225,"USA","average",NA,"Large"
16145,"USA","average",23,"Large"
27400,"USA","Much worse",NA,"Large"
26960,"USA","average",NA,"Large"
14525,"USA","Much worse",18,"Large"
17257,"USA","average",20,"Large"
27986,"USA","average",NA,"Large"
13790,"USA","Much worse",NA,"Van"
13995,"USA",NA,18,"Van"
11995,"USA","average",NA,"Van"
15395,"USA","average",18,"Van"
12267,"USA","average",18,"Van"
14944,"Japan","Much better",19,"Van"
14929,"Japan",NA,20,"Van"
13949,"Japan",NA,20,"Van"
14799,"Japan",NA,19,"Van"
14080,"Germany",NA,NA,"Van"
