"g","series"
76,"1"
82,"1"
83,"1"
54,"1"
35,"1"
46,"1"
87,"1"
68,"1"
87,"2"
95,"2"
98,"2"
100,"2"
109,"2"
109,"2"
100,"2"
81,"2"
75,"2"
68,"2"
67,"2"
105,"3"
83,"3"
76,"3"
75,"3"
51,"3"
76,"3"
93,"3"
75,"3"
62,"3"
95,"4"
90,"4"
76,"4"
76,"4"
87,"4"
79,"4"
77,"4"
71,"4"
76,"5"
76,"5"
78,"5"
79,"5"
72,"5"
68,"5"
75,"5"
78,"5"
78,"6"
78,"6"
78,"6"
86,"6"
87,"6"
81,"6"
73,"6"
67,"6"
75,"6"
82,"6"
83,"6"
82,"7"
79,"7"
81,"7"
79,"7"
77,"7"
79,"7"
79,"7"
78,"7"
79,"7"
82,"7"
76,"7"
73,"7"
64,"7"
84,"8"
86,"8"
85,"8"
82,"8"
77,"8"
76,"8"
77,"8"
80,"8"
83,"8"
81,"8"
78,"8"
78,"8"
78,"8"
