"Loc","Var","Y1","Y2"
"UF","M",81,80.7
"UF","S",105.4,82.3
"UF","V",119.7,80.4
"UF","T",109.7,87.2
"UF","P",98.3,84.2
"W","M",146.6,100.4
"W","S",142,115.5
"W","V",150.7,112.2
"W","T",191.5,147.7
"W","P",145.7,108.1
"M","M",82.3,103.1
"M","S",77.3,105.1
"M","V",78.4,116.5
"M","T",131.3,139.9
"M","P",89.6,129.6
"C","M",119.8,98.9
"C","S",121.4,61.9
"C","V",124,96.2
"C","T",140.8,125.5
"C","P",124.8,75.7
"GR","M",98.9,66.4
"GR","S",89,49.9
"GR","V",69.1,96.7
"GR","T",89.3,61.9
"GR","P",104.1,80.3
"D","M",86.9,67.7
"D","S",77.1,66.7
"D","V",78.9,67.4
"D","T",101.8,91.8
"D","P",96,94.1
