"Strip","Conc","Length"
"S01",1,15.8
"S01",2,20.8
"S01",3,22.6
"S01",4,23.8
"S02",1,20.6
"S02",2,26.8
"S02",3,28.4
"S02",4,27
"S03",0.25,7.2
"S03",0.5,15.4
"S03",1,22.8
"S03",2,27.4
"S04",0.25,2.2
"S04",0.5,9
"S04",1,16.6
"S05",0.25,2
"S05",0.5,6
"S05",1,15.2
"S06",0.25,5
"S06",0.5,9.2
"S06",1,14.2
"S07",1,28
"S07",2,32
"S08",0.25,5.6
"S08",1,26
"S09",0.5,15.4
"S09",1,23.2
"S10",0.25,11.8
"S10",1,29
"S11",0.25,11
"S11",0.5,18.8
"S11",1,26.2
"S12",1,26
"S12",2,33.8
"S13",1,24.2
"S13",2,28.8
"S14",0.5,15
"S14",1,24
"S15",0.5,20.8
"S15",1,29
"S16",1,18.2
"S16",2,25.8
"S16",3,30
"S16",4,32.2
"S17",1,21.5
"S17",2,28.4
"S17",3,32
"S17",4,29.6
"S18",1,15.4
"S18",2,19
"S18",3,19.4
"S19",1,29
"S19",2,34
"S19",3,37
"S20",1,22.2
"S20",2,29
"S20",3,32.2
"S21",1,23
"S21",2,27.4
"S21",3,30.4
