"V1","V2","V3","V4","V5","V6"
NA,-203.7,-84.1,18.5,NA,NA
NA,-203,-97.8,25.8,134.7,NA
NA,-249,-92.1,27.8,177.1,NA
NA,-231.5,-97.5,27,150.3,NA
NA,NA,-130.1,25.8,160,NA
NA,-223.1,-70.7,62.1,197.5,NA
NA,-164.8,-12.2,76.8,202.8,NA
NA,-221.6,-81.9,27.5,144.5,NA
NA,-153.7,-17,76.1,222.4,NA
NA,-184.7,-47.3,74.4,208.9,NA
NA,NA,-148.8,11.4,137.7,NA
NA,-197.6,-6.4,137.1,NA,NA
NA,-247.8,-35.4,80.9,229.5,NA
NA,-227,-104.7,20.2,140.2,NA
-233.6,-115.9,-10.5,70,202.6,NA
NA,-232.4,-100.6,16.8,145.1,NA
NA,-199.4,-58.2,29.1,184.4,NA
NA,-195.7,-89.5,26.4,142.7,NA
NA,-180.1,-65,27.3,171.1,NA
NA,NA,-85.2,27.1,NA,NA
NA,-217.3,-77.1,27.6,151.5,NA
NA,-139.7,-15.8,83,215.5,NA
-249.6,-132.8,-14.1,78.1,205.7,NA
NA,-152.7,-36.9,29.7,149.8,NA
NA,-224.1,-81.9,29.1,172.2,NA
NA,NA,-235.8,6,144.4,NA
NA,-202.8,-45.1,84,227.3,NA
-240.9,-138.4,-21.5,73.4,210.6,NA
-247.1,-128.2,-31.3,29.2,143.1,NA
NA,-185.4,-80.3,23.9,115.8,222.7
NA,-182.5,-75.8,27.5,165.2,NA
NA,-202.2,-99.1,23.8,136.3,242.5
NA,-193.3,-82.6,26.3,160.5,NA
NA,-189.4,-63.3,27.6,136.8,NA
NA,-149,-31,73.5,187.8,NA
NA,-162.4,-26.5,72.6,NA,NA
NA,-213.4,-107.2,24.7,158.5,NA
NA,-183.1,-38.8,69.1,207.7,NA
NA,-247.2,-115.2,14.3,141.1,NA
NA,-233.6,-85.9,27.6,164,NA
NA,-167.9,-33,72,236.9,NA
NA,-186,-54.1,74,229.4,NA
-247,-132.2,-18.8,28.2,81.4,237.9
NA,-204.9,-87.4,27.2,165.8,NA
NA,-166.6,-19.3,74,207.8,NA
NA,-190.3,-54.2,84.2,210.9,NA
NA,-191.4,-39.7,76,227,NA
NA,-165.8,-21.6,73.7,224.7,NA
NA,-118.4,-9.1,79.2,214.2,NA
NA,-197.4,-63.9,64.6,190.6,NA
NA,-230.4,-98.3,27.1,132.2,243
NA,-202.8,-35,71.5,221.8,NA
NA,-170.6,-51.7,29.1,140.5,NA
NA,-226.5,-80.5,27.5,155.3,NA
NA,-153.2,-40.3,70.2,186.3,NA
NA,-198.8,-57.7,67.3,218.3,NA
NA,-224.4,-106.4,19.2,125.4,NA
NA,-170,-31,79.2,209.7,NA
NA,-239.1,-97.1,27.4,169.6,NA
NA,-236.5,-80,27.2,152.2,NA
NA,-233.9,-83.4,30.1,190.9,NA
NA,NA,-115.6,26.3,146.4,NA
NA,-239.9,-115.9,26.6,175.8,NA
NA,-210,-89.4,14.2,130.3,NA
NA,-162,-47.6,28.2,149.6,NA
NA,-156.2,-32.2,68.4,202.9,NA
NA,-200.1,-71.5,29,172.7,NA
NA,-238.1,-95.2,29.2,181.8,NA
NA,-160.4,-32,73.8,209.8,NA
NA,-217.5,-115,18.4,144.3,NA
NA,-182.4,-74.5,27.4,144.7,NA
-216.8,-121.8,-25.9,74.2,224.3,NA
NA,-191.6,-81.5,26.1,132.2,NA
NA,NA,-115.5,27.1,182.2,NA
NA,-233.9,-95.9,26.1,150.8,NA
NA,-197.4,-81.7,29.3,224.1,NA
NA,-237.4,-106.8,25.7,141.5,NA
NA,-177.3,-53.4,71.1,193.3,NA
NA,-236,-108,20.8,116.7,234.7
NA,-158.6,-35,70.9,192.8,NA
NA,-232.2,-90.9,20.8,102.8,NA
NA,NA,-125.9,82.7,210.6,NA
