"lang","IQ","class","GS","SES","COMB"
46,15,"180",29,23,"0"
45,14.5,"180",29,10,"0"
33,9.5,"180",29,15,"0"
46,11,"180",29,23,"0"
20,8,"180",29,10,"0"
30,9.5,"180",29,10,"0"
30,9.5,"180",29,23,"0"
57,13,"180",29,10,"0"
36,9.5,"180",29,13,"0"
36,11,"180",29,15,"0"
29,5.5,"180",29,10,"0"
40,14,"180",29,18,"0"
41,9,"180",29,15,"0"
47,10.5,"180",29,20,"0"
33,10,"180",29,10,"0"
37,11,"180",29,20,"0"
29,6.5,"180",29,13,"0"
26,4,"180",29,10,"0"
37,11,"180",29,10,"0"
40,11,"180",29,15,"0"
27,11,"180",29,10,"0"
43,12.5,"180",29,13,"0"
39,11.5,"180",29,10,"0"
21,10,"180",29,10,"0"
42,10,"180",29,10,"0"
21,11.5,"280",19,15,"1"
27,10.5,"280",19,15,"1"
16,8,"280",19,20,"1"
31,7.5,"280",19,15,"1"
21,7.5,"280",19,10,"1"
18,6.5,"280",19,23,"1"
32,11.5,"280",19,10,"1"
28,10.5,"1082",25,15,"1"
33,10.5,"1082",25,20,"1"
38,12.5,"1082",25,20,"1"
14,8,"1082",25,10,"1"
39,11,"1082",25,33,"1"
23,9.5,"1280",31,27,"1"
43,10.5,"1280",31,33,"1"
25,8.5,"1280",31,33,"1"
24,7.5,"1280",31,28,"1"
41,11,"1280",31,37,"1"
32,10.5,"1280",31,30,"1"
26,10.5,"1280",31,20,"1"
21,9.5,"1280",31,40,"1"
37,10,"1280",31,20,"1"
30,11.5,"1280",31,17,"1"
41,9.5,"1280",31,20,"1"
31,9,"1280",31,50,"1"
27,8,"1280",31,20,"1"
33,7.5,"1280",31,27,"1"
29,8.5,"1280",31,40,"1"
31,14,"1580",35,40,"1"
18,8.5,"1580",35,20,"1"
37,13,"1580",35,40,"1"
22,10.5,"1580",35,25,"1"
43,15,"1580",35,20,"1"
9,9,"1580",35,30,"1"
41,10,"1580",35,30,"1"
46,12,"1580",35,20,"1"
34,11,"1680",28,23,"1"
47,11,"1680",28,33,"1"
44,12.5,"1680",28,27,"1"
50,13,"1680",28,27,"1"
45,12.5,"1680",28,23,"1"
43,11,"1680",28,30,"1"
34,11.5,"1680",28,35,"1"
35,11,"1680",28,37,"1"
22,9.5,"1880",28,23,"0"
27,9.5,"1880",28,15,"0"
45,15,"1880",28,50,"0"
45,11.5,"1880",28,27,"0"
38,13,"1880",28,35,"0"
24,10.5,"1880",28,33,"0"
50,13,"1880",28,25,"0"
22,11,"1880",28,20,"0"
43,14,"1880",28,30,"0"
28,13.5,"1880",28,28,"0"
38,10.5,"1880",28,33,"0"
20,9.5,"1880",28,25,"0"
40,15.5,"1880",28,33,"0"
47,12,"1880",28,50,"0"
20,11,"1880",28,15,"0"
28,11,"1880",28,25,"0"
33,13,"1880",28,50,"0"
21,11.5,"1880",28,30,"0"
44,12.5,"1880",28,38,"0"
43,12,"1880",28,20,"0"
