"x","y","perm","por"
8,2.38,327,33
13.13,2.5,3369,34
13.88,3.13,4770,40
13.38,2.63,938,35
13.38,2.13,568,32
13.88,2.13,667,34
12.25,2.5,2561,32
12.88,2.25,2538,34
11.25,3,1078,36
11.38,2.13,1078,34
12,2.25,3116,36
10.25,2.88,1619,34
10.25,2.38,1447,34
10.63,2.75,1668,34
10.75,2.25,208,35
9.25,2.75,2994,35
9.38,2.25,2079,35
9.63,2.63,762,33
9.75,3,539,32
9.75,2.13,610,35
8.25,2.38,2211,32
8.75,2.13,2617,32
8.88,2.75,993,31
9,2.13,1096,35
9.38,1.25,538,33
9.5,1.38,745,35
9.63,1.25,592,34
9.75,1.63,937,36
9.75,1.25,1239,32
9.88,1.25,1055,36
10,1.63,185,27
10,1.13,1172,35
10.13,1.5,1863,35
10.13,1.25,1141,33
10.25,1.13,892,35
10.38,1.25,2124,35
10.5,1.13,1090,33
10.63,1.25,785,32
10.75,2,280,37
10.75,1.38,270,32
10.75,1.13,1752,32
10.88,1.25,2477,32
11,1.75,683,32
11,1.13,1109,33
11.25,1.38,1385,33
11.5,1.63,1864,34
11.75,1.75,765,34
11.88,1.5,727,32
11.88,1.25,1351,32
12.25,1.88,963,33
12.25,1.38,1309,30
12.63,2,1883,35
12.75,1.63,926,35
12.88,1.13,2558,30
13.38,1.75,1339,33
7.75,4.13,1393,38
6.13,3.38,162,34
7,3.38,857,34
8.38,5.63,2048,31
13.38,4.25,2105,32
11.88,4.25,1217,33
11.25,4.38,767,34
10.13,4.25,2655,35
10.88,4.25,3790,35
9.38,4.38,3457,37
9.5,4.63,785,34
9.5,4.13,3360,35
10,4.13,1255,38
8.5,4.5,213,33
8.75,5,248,35
9,4.75,3091,36
9,4.25,459,34
8.75,3.13,4022,31
9,4,1169,34
9,3.63,681,30
9.38,3.25,1690,37
9.63,3.75,2341,36
9.88,4,2763,35
9.88,3.75,758,35
10.13,3.13,305,36
10.13,3.75,2569,38
10.5,3.88,906,30
10.5,3.38,1301,34
10.75,3.13,80,31
10.88,3.38,897,38
11,3.88,2169,33
11.38,3.5,1128,28
11.5,3.88,4244,34
11.13,3.25,3347,36
11.63,4,2166,36
12.38,3.75,2887,36
13,3.38,2383,35
12.25,3.63,4,31
12.13,3.13,1437,37
13,3.63,1423,33
13.63,4,2005,31
13.63,3.63,1659,37
13.63,3.5,2011,37
13.75,3.88,529,32
13.88,4,1484,33
13.88,3.63,918,34
13.38,3.63,2319,36
13.5,3.75,1611,37
13.5,3.13,1454,36
