"B","V","N","Y"
"I","Victory","0.0cwt",111
"I","Victory","0.2cwt",130
"I","Victory","0.4cwt",157
"I","Victory","0.6cwt",174
"I","Golden.rain","0.0cwt",117
"I","Golden.rain","0.2cwt",114
"I","Golden.rain","0.4cwt",161
"I","Golden.rain","0.6cwt",141
"I","Marvellous","0.0cwt",105
"I","Marvellous","0.2cwt",140
"I","Marvellous","0.4cwt",118
"I","Marvellous","0.6cwt",156
"II","Victory","0.0cwt",61
"II","Victory","0.2cwt",91
"II","Victory","0.4cwt",97
"II","Victory","0.6cwt",100
"II","Golden.rain","0.0cwt",70
"II","Golden.rain","0.2cwt",108
"II","Golden.rain","0.4cwt",126
"II","Golden.rain","0.6cwt",149
"II","Marvellous","0.0cwt",96
"II","Marvellous","0.2cwt",124
"II","Marvellous","0.4cwt",121
"II","Marvellous","0.6cwt",144
"III","Victory","0.0cwt",68
"III","Victory","0.2cwt",64
"III","Victory","0.4cwt",112
"III","Victory","0.6cwt",86
"III","Golden.rain","0.0cwt",60
"III","Golden.rain","0.2cwt",102
"III","Golden.rain","0.4cwt",89
"III","Golden.rain","0.6cwt",96
"III","Marvellous","0.0cwt",89
"III","Marvellous","0.2cwt",129
"III","Marvellous","0.4cwt",132
"III","Marvellous","0.6cwt",124
"IV","Victory","0.0cwt",74
"IV","Victory","0.2cwt",89
"IV","Victory","0.4cwt",81
"IV","Victory","0.6cwt",122
"IV","Golden.rain","0.0cwt",64
"IV","Golden.rain","0.2cwt",103
"IV","Golden.rain","0.4cwt",132
"IV","Golden.rain","0.6cwt",133
"IV","Marvellous","0.0cwt",70
"IV","Marvellous","0.2cwt",89
"IV","Marvellous","0.4cwt",104
"IV","Marvellous","0.6cwt",117
"V","Victory","0.0cwt",62
"V","Victory","0.2cwt",90
"V","Victory","0.4cwt",100
"V","Victory","0.6cwt",116
"V","Golden.rain","0.0cwt",80
"V","Golden.rain","0.2cwt",82
"V","Golden.rain","0.4cwt",94
"V","Golden.rain","0.6cwt",126
"V","Marvellous","0.0cwt",63
"V","Marvellous","0.2cwt",70
"V","Marvellous","0.4cwt",109
"V","Marvellous","0.6cwt",99
"VI","Victory","0.0cwt",53
"VI","Victory","0.2cwt",74
"VI","Victory","0.4cwt",118
"VI","Victory","0.6cwt",113
"VI","Golden.rain","0.0cwt",89
"VI","Golden.rain","0.2cwt",82
"VI","Golden.rain","0.4cwt",86
"VI","Golden.rain","0.6cwt",104
"VI","Marvellous","0.0cwt",97
"VI","Marvellous","0.2cwt",99
"VI","Marvellous","0.4cwt",119
"VI","Marvellous","0.6cwt",121
