"Composition","Drawing","Colour","Expression","School"
10,8,16,3,"A"
15,16,4,14,"A"
8,13,16,7,"A"
12,16,9,8,"A"
0,15,8,0,"A"
15,16,4,14,"A"
8,17,4,8,"A"
15,16,7,6,"A"
4,12,10,4,"A"
17,18,12,18,"A"
10,13,8,8,"B"
13,15,8,8,"B"
10,15,6,6,"B"
15,14,7,10,"B"
13,14,10,9,"B"
12,15,5,8,"B"
14,15,6,10,"C"
16,14,12,6,"C"
10,10,6,2,"C"
13,12,9,6,"C"
11,15,0,6,"C"
15,15,12,13,"C"
6,8,17,0,"D"
4,6,14,0,"D"
8,9,18,4,"D"
6,8,15,4,"D"
12,9,14,6,"D"
5,6,16,0,"D"
8,14,17,5,"D"
15,14,16,4,"D"
12,15,18,6,"D"
15,10,16,3,"D"
14,14,10,6,"E"
6,6,16,0,"E"
13,13,15,12,"E"
15,17,9,17,"E"
18,10,10,4,"E"
14,13,10,5,"E"
15,17,13,13,"E"
8,10,10,8,"F"
9,10,16,13,"F"
4,15,6,6,"F"
8,6,6,4,"F"
11,10,14,6,"G"
10,8,16,6,"G"
13,14,10,10,"G"
15,6,17,12,"G"
18,13,17,17,"G"
15,12,13,6,"G"
15,10,17,13,"G"
10,8,8,4,"H"
16,16,8,16,"H"
15,15,4,15,"H"
15,17,6,15,"H"
