"pdias","longindex","durflow","height","begflow","mycor","vegaer","vegsout","autopoll","insects","wind","lign","piq","ros","semiros","leafy","suman","winan","monocarp","polycarp","seasaes","seashiv","seasver","everalw","everparti","elaio","endozoo","epizoo","aquat","windgl","unsp"
96.84,0,2,"7","5","2","0","0","0","4","0","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0"
110.72,0,3,"8","4","2","0","0","0","4","0","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0"
0.06,0.666666667,3,"2","6","2","0","1","0","0","4","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1"
0.08,0.488888889,2,"2","7","1","2","0","0","0","4","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1"
1.48,0.476190476,3,"2","5","2","2","0","1","3","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0"
2.33,0.5,3,"5","4","0","0","0","3","3","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","1"
0.38,0.904761905,3,"2","6","2","0","0","3","2","0","0","0","0","0","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","1"
2.55,0.066666667,3,"2","3","2","0","2","1","3","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0"
1.48,0.210526316,3,"3","7","2","0","0","0","3","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","1","0","0"
0.52,0.369565217,3,"2","4","2","0","0","2","0","3","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0"
3.29,0.206896552,4,"5","6","1","0","1","1","0","3","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0"
0.13,0.8,5,"5","7","2","0","0","0","0","3","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1"
268.45,0,3,"3","4","2","0","1","0","4","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0"
0.1,NA,2,"8","4","2","0","0","0","0","4","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0"
4.16,0.222222222,3,"3","6","2","0","1","0","0","4","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0"
7.92,0,3,"3","5","0","0","0","3","0","0","0","0","0","1","0","1","1","0","0","0","1","0","0","0","0","0","1","0","0","0"
14.6,NA,3,"5","6",NA,"0","0","0","4","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0"
31.28,0.555555556,4,"5","6","2","0","1","1","3","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0"
0.04,0.827586207,2,"4","8","2","0","0","0","3","1","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0"
63.8,0,2,"8","4",NA,"0","0","0","0","4","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0"
0.8,NA,2,"3","5",NA,"0","0","0","0","3","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1"
NA,0.930555556,4,"5","7","1","0","0","0","0","3","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
0.83,1,6,"4","4","1","0","0","1","3","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0"
1.41,0.520833333,3,"4","7","2","0","2","0","4","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0"
1.97,0,3,"2","6","2","0","2","1","3","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0"
2.37,0.388888889,4,"5","7","1","0","0","0","3","0","0","1","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0"
2.4,0.5,2,"1","5","2","0","1","0","3","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1"
1042,0,4,"6","1","2","0","0","0","0","4","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0"
NA,1,4,"2","6",NA,"0","0","3","0","0","0","0",NA,NA,NA,"1","0","0","0","1","0","0","0","0",NA,NA,NA,NA,NA,NA
169.4,0,2,"5","5",NA,"0","0","0","3","0","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0"
525,0,2,"7","5",NA,"0","0","1","3","0","1","1","0","0","1","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0"
280,0,2,"7","5","2","0","0","1","3","0","1","1","0","0","1","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0"
NA,NA,3,"4","7",NA,"0","0","0","3","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0"
7.78,0.5,2,"5","5","2","0","0","0","3","0","1","0","0","0","1","0","0","0","1","0","0","0","0","1","1","0","0","0","0","1"
0.99,0.425531915,3,"3","5","2","0","0","1","0","3","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1"
103.4,NA,2,"4","3",NA,"0","0","0","4","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0"
1.09,0.722222222,4,"2","6","2","0","0","1","3","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0"
0.68,0.157894737,2,"2","6","2","0","0","0","0","4","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0"
