"time","poison","treat"
0.31,"1","A"
0.45,"1","A"
0.46,"1","A"
0.43,"1","A"
0.36,"2","A"
0.29,"2","A"
0.4,"2","A"
0.23,"2","A"
0.22,"3","A"
0.21,"3","A"
0.18,"3","A"
0.23,"3","A"
0.82,"1","B"
1.1,"1","B"
0.88,"1","B"
0.72,"1","B"
0.92,"2","B"
0.61,"2","B"
0.49,"2","B"
1.24,"2","B"
0.3,"3","B"
0.37,"3","B"
0.38,"3","B"
0.29,"3","B"
0.43,"1","C"
0.45,"1","C"
0.63,"1","C"
0.76,"1","C"
0.44,"2","C"
0.35,"2","C"
0.31,"2","C"
0.4,"2","C"
0.23,"3","C"
0.25,"3","C"
0.24,"3","C"
0.22,"3","C"
0.45,"1","D"
0.71,"1","D"
0.66,"1","D"
0.62,"1","D"
0.56,"2","D"
1.02,"2","D"
0.71,"2","D"
0.38,"2","D"
0.3,"3","D"
0.36,"3","D"
0.31,"3","D"
0.33,"3","D"
