"","author","title","journal","year","volume","issue","bpage","epage","type"
"1","AH Conrad","Structural-change, labor utilization, and the inequality of wage incomes","Econometrica",1956,24,"3",345,346,"econometrics"
"2","A Bottomley","Unemployment and structural-change","Econometrica",1964,32,"4",709,710,"econometrics"
"3","I Adelman","Interdependence, resource use and structural-change in Israel","Econometrica",1964,32,"4",712,713,"econometrics"
"4","DV Hinkley","Inference about change-point in a sequence of random variables","Biometrika",1970,57,"1",1,17,"statistics"
"5","DV Hinkley, EA Hinkley","Inference about change-point in a sequence of binomial variables","Biometrika",1970,57,"3",477,488,"statistics"
"6","EP Howrey","Structural change and postwar economic stability - Econometric test","Review of Economics and Statistics",1970,52,"1",18,25,"econometrics"
"7","DV Hinkley","Inference about change-point from cumulative sum tests","Biometrika",1971,58,"3",509,523,"statistics"
"8","KW Kemp","Formal expressions which can be applied to CUSUM charts","Journal of the Royal Statistical Society B",1971,33,"3",331,360,"statistics"
"9","D Brook, DA Evans","Approach to probability distribution of CUSUM run length","Biometrika",1972,59,"3",539,549,"statistics"
"10","WK Chiu","Economic design of CUSUM charts for controlling normal means","Journal of the Royal Statistical Society C",1974,23,"3",420,433,"statistics"
"11","AFM Smith","Bayesian approach to inference about a change-point in a sequence of random-variables","Biometrika",1975,62,"2",407,416,"statistics"
"12","RL Brown, J Durbin, JM Evans","Techniques for testing the constancy of regression relationships over time","Journal of the Royal Statistical Society B",1975,37,"2",149,163,"statistics"
"13","M Bagshaw, RA Johnson","Influence of reference values and estimated variance on arl of CUSUM tests","Journal of the Royal Statistical Society B",1975,37,"3",413,420,"statistics"
"14","RE Quandt","Econometrics of structural-change","Journal of the American Statistical Association",1977,72,"357",239,240,"statistics"
"15","JS Hodgson, AB Holmes","Structural stability of international capital mobility - Analysis of short-term United-States canadian bank claims","Review of Economics and Statistics",1977,59,"4",465,473,"econometrics"
"16","GW Cobb","Problem of nile - Conditional solution to a changepoint problem","Biometrika",1978,65,"2",243,251,"statistics"
"17","RA Khan","Walds approximations to average run length in CUSUM procedures","Journal of Statistical Planning and Inference",1978,2,"1",63,77,"statistics"
"18","J Deshayes, D Picard","Testing for a change-point in a regression relationship","Biometrics",1980,36,"2",367,367,"statistics"
"19","AN Pettitt","A simple cumulative sum type statistic for the change-point problem with zero-one observations","Biometrika",1980,67,"1",79,84,"statistics"
"20","JM Dufour","Dummy variables and predictive tests for structural-change","Economics Letters",1980,6,"3",241,247,"econometrics"
"21","RL Carter, BJN Blight","A Bayesian change-point problem with an application to the prediction and detection of ovulation in women","Biometrics",1981,37,"4",743,751,"statistics"
"22","AN Pettitt","Posterior probabilities for a change-point using ranks","Biometrika",1981,68,"2",443,450,"statistics"
"23","S Zacks","The probability-distribution and the expected value of a stopping variable associated with one-sided CUSUM procedures for nonnegative integer valued random-variables","Communications in Statistics: Theory and Methods",1981,10,"21",2245,2258,"statistics"
"24","LD Broemeling, JHC Choy","Detecting structural-change in linear-models","Communications in Statistics: Theory and Methods",1981,10,"24",2551,2561,"statistics"
"25","DEA Giles","Testing for parameter stability in structural econometric relationships","Economics Letters",1981,7,"4",323,326,"econometrics"
"26","DE Matthews, VT Farewell","On testing for a constant hazard against a change-point alternative","Biometrics",1982,38,"2",463,468,"statistics"
"27","JM Lucas, RB Crosier","Robust CUSUM - A robustness study for CUSUM quality-control schemes","Communications in Statistics: Theory and Methods",1982,11,"23",2669,2687,"statistics"
"28","L Broemeling","Structural-change in econometrics - Introduction","Journal of Econometrics",1982,19,"1",1,5,"econometrics"
