"stability","error","sign","wind","magn","vis","use"
"xstab","LX","pp","head","Light","no","auto"
"xstab","LX","pp","head","Medium","no","auto"
"xstab","LX","pp","head","Strong","no","auto"
"xstab","LX","pp","tail","Light","no","auto"
"xstab","LX","pp","tail","Medium","no","auto"
"xstab","LX","pp","tail","Strong","no","auto"
"xstab","LX","nn","head","Light","no","auto"
"xstab","LX","nn","head","Medium","no","auto"
"xstab","LX","nn","head","Strong","no","auto"
"xstab","LX","nn","tail","Light","no","auto"
"xstab","LX","nn","tail","Medium","no","auto"
"xstab","LX","nn","tail","Strong","no","auto"
"xstab","XL","pp","head","Light","no","auto"
"xstab","XL","pp","head","Medium","no","auto"
"xstab","XL","pp","head","Strong","no","auto"
"xstab","XL","pp","tail","Light","no","auto"
"xstab","XL","pp","tail","Medium","no","auto"
"xstab","XL","pp","tail","Strong","no","auto"
"xstab","XL","nn","head","Light","no","auto"
"xstab","XL","nn","head","Medium","no","auto"
"xstab","XL","nn","head","Strong","no","auto"
"xstab","XL","nn","tail","Light","no","auto"
"xstab","XL","nn","tail","Medium","no","auto"
"xstab","XL","nn","tail","Strong","no","auto"
"xstab","MM","pp","head","Light","no","auto"
"xstab","MM","pp","head","Medium","no","auto"
"xstab","MM","pp","head","Strong","no","auto"
"xstab","MM","pp","tail","Light","no","auto"
"xstab","MM","pp","tail","Medium","no","auto"
"xstab","MM","pp","tail","Strong","no","auto"
"xstab","MM","nn","head","Light","no","auto"
"xstab","MM","nn","head","Medium","no","auto"
"xstab","MM","nn","head","Strong","no","auto"
"xstab","MM","nn","tail","Light","no","auto"
"xstab","MM","nn","tail","Medium","no","auto"
"xstab","MM","nn","tail","Strong","no","auto"
"xstab","SS","pp","head","Light","no","auto"
"xstab","SS","pp","head","Medium","no","auto"
"xstab","SS","pp","head","Strong","no","auto"
"xstab","SS","pp","tail","Light","no","auto"
"xstab","SS","pp","tail","Medium","no","auto"
"xstab","SS","pp","tail","Strong","no","auto"
"xstab","SS","nn","head","Light","no","auto"
"xstab","SS","nn","head","Medium","no","auto"
"xstab","SS","nn","head","Strong","no","auto"
"xstab","SS","nn","tail","Light","no","auto"
"xstab","SS","nn","tail","Medium","no","auto"
"xstab","SS","nn","tail","Strong","no","auto"
"stab","LX","pp","head","Light","no","auto"
"stab","LX","pp","head","Medium","no","auto"
"stab","LX","pp","head","Strong","no","auto"
"stab","LX","pp","tail","Light","no","auto"
"stab","LX","pp","tail","Medium","no","auto"
"stab","LX","pp","tail","Strong","no","auto"
"stab","LX","nn","head","Light","no","auto"
"stab","LX","nn","head","Medium","no","auto"
"stab","LX","nn","head","Strong","no","auto"
"stab","LX","nn","tail","Light","no","auto"
"stab","LX","nn","tail","Medium","no","auto"
"stab","LX","nn","tail","Strong","no","auto"
"stab","XL","pp","head","Light","no","auto"
"stab","XL","pp","head","Medium","no","auto"
"stab","XL","pp","head","Strong","no","auto"
"stab","XL","pp","tail","Light","no","auto"
"stab","XL","pp","tail","Medium","no","auto"
"stab","XL","pp","tail","Strong","no","auto"
"stab","XL","nn","head","Light","no","auto"
"stab","XL","nn","head","Medium","no","auto"
"stab","XL","nn","head","Strong","no","auto"
"stab","XL","nn","tail","Light","no","auto"
"stab","XL","nn","tail","Medium","no","auto"
"stab","XL","nn","tail","Strong","no","auto"
"stab","MM","pp","head","Light","no","auto"
"stab","MM","pp","head","Medium","no","auto"
"stab","MM","pp","head","Strong","no","auto"
"stab","MM","pp","tail","Light","no","auto"
"stab","MM","pp","tail","Medium","no","auto"
"stab","MM","pp","tail","Strong","no","auto"
"stab","MM","nn","head","Light","no","auto"
"stab","MM","nn","head","Medium","no","auto"
"stab","MM","nn","head","Strong","no","auto"
"stab","MM","nn","tail","Light","no","auto"
"stab","MM","nn","tail","Medium","no","auto"
"stab","MM","nn","tail","Strong","no","auto"
"stab","SS","pp","head","Light","no","auto"
"stab","SS","pp","head","Medium","no","auto"
"stab","SS","pp","head","Strong","no","auto"
"stab","SS","pp","tail","Light","no","auto"
"stab","SS","pp","tail","Medium","no","auto"
"stab","SS","pp","tail","Strong","no","auto"
"stab","SS","nn","head","Light","no","auto"
"stab","SS","nn","head","Medium","no","auto"
"stab","SS","nn","head","Strong","no","auto"
"stab","SS","nn","tail","Light","no","auto"
"stab","SS","nn","tail","Medium","no","auto"
"stab","SS","nn","tail","Strong","no","auto"
"xstab","LX","pp","head","Out","no","auto"
"xstab","LX","pp","tail","Out","no","auto"
"xstab","LX","nn","head","Out","no","auto"
"xstab","LX","nn","tail","Out","no","auto"
"xstab","XL","pp","head","Out","no","auto"
"xstab","XL","pp","tail","Out","no","auto"
"xstab","XL","nn","head","Out","no","auto"
"xstab","XL","nn","tail","Out","no","auto"
"xstab","MM","pp","head","Out","no","auto"
"xstab","MM","pp","tail","Out","no","auto"
"xstab","MM","nn","head","Out","no","auto"
"xstab","MM","nn","tail","Out","no","auto"
"xstab","SS","pp","head","Out","no","auto"
"xstab","SS","pp","tail","Out","no","auto"
"xstab","SS","nn","head","Out","no","auto"
"xstab","SS","nn","tail","Out","no","auto"
"stab","LX","pp","head","Out","no","auto"
"stab","LX","pp","tail","Out","no","auto"
"stab","LX","nn","head","Out","no","auto"
"stab","LX","nn","tail","Out","no","auto"
"stab","XL","pp","head","Out","no","auto"
"stab","XL","pp","tail","Out","no","auto"
"stab","XL","nn","head","Out","no","auto"
"stab","XL","nn","tail","Out","no","auto"
"stab","MM","pp","head","Out","no","auto"
"stab","MM","pp","tail","Out","no","auto"
"stab","MM","nn","head","Out","no","auto"
"stab","MM","nn","tail","Out","no","auto"
"stab","SS","pp","head","Out","no","auto"
"stab","SS","pp","tail","Out","no","auto"
"stab","SS","nn","head","Out","no","auto"
"stab","SS","nn","tail","Out","no","auto"
"xstab","LX","pp","head","Light","yes","noauto"
"xstab","LX","pp","head","Medium","yes","noauto"
"xstab","LX","pp","head","Strong","yes","noauto"
"xstab","LX","pp","tail","Light","yes","noauto"
"xstab","LX","pp","tail","Medium","yes","noauto"
"xstab","LX","pp","tail","Strong","yes","noauto"
"xstab","LX","nn","head","Light","yes","noauto"
"xstab","LX","nn","head","Medium","yes","noauto"
"xstab","LX","nn","head","Strong","yes","noauto"
"xstab","LX","nn","tail","Light","yes","noauto"
"xstab","LX","nn","tail","Medium","yes","noauto"
"xstab","LX","nn","tail","Strong","yes","noauto"
"xstab","XL","pp","head","Light","yes","noauto"
"xstab","XL","pp","head","Medium","yes","noauto"
"xstab","XL","pp","head","Strong","yes","noauto"
"xstab","XL","pp","tail","Light","yes","noauto"
"xstab","XL","pp","tail","Medium","yes","noauto"
"xstab","XL","pp","tail","Strong","yes","noauto"
"xstab","XL","nn","head","Light","yes","noauto"
"xstab","XL","nn","head","Medium","yes","noauto"
"xstab","XL","nn","head","Strong","yes","noauto"
"xstab","XL","nn","tail","Light","yes","noauto"
"xstab","XL","nn","tail","Medium","yes","noauto"
"xstab","XL","nn","tail","Strong","yes","noauto"
"xstab","MM","pp","head","Light","yes","noauto"
"xstab","MM","pp","head","Medium","yes","noauto"
"xstab","MM","pp","head","Strong","yes","noauto"
"xstab","MM","pp","tail","Light","yes","noauto"
"xstab","MM","pp","tail","Medium","yes","noauto"
"xstab","MM","pp","tail","Strong","yes","noauto"
"xstab","MM","nn","head","Light","yes","noauto"
"xstab","MM","nn","head","Medium","yes","noauto"
"xstab","MM","nn","head","Strong","yes","noauto"
"xstab","MM","nn","tail","Light","yes","noauto"
"xstab","MM","nn","tail","Medium","yes","noauto"
"xstab","MM","nn","tail","Strong","yes","noauto"
"xstab","SS","pp","head","Light","yes","noauto"
"xstab","SS","pp","head","Medium","yes","noauto"
"xstab","SS","pp","head","Strong","yes","noauto"
"xstab","SS","pp","tail","Light","yes","noauto"
"xstab","SS","pp","tail","Medium","yes","noauto"
"xstab","SS","pp","tail","Strong","yes","noauto"
"xstab","SS","nn","head","Light","yes","noauto"
"xstab","SS","nn","head","Medium","yes","noauto"
"xstab","SS","nn","head","Strong","yes","noauto"
"xstab","SS","nn","tail","Light","yes","noauto"
"xstab","SS","nn","tail","Medium","yes","noauto"
"xstab","SS","nn","tail","Strong","yes","noauto"
"stab","LX","pp","head","Light","yes","noauto"
"stab","LX","pp","head","Medium","yes","noauto"
"stab","LX","pp","head","Strong","yes","noauto"
"stab","LX","pp","tail","Light","yes","noauto"
"stab","LX","pp","tail","Medium","yes","noauto"
"stab","LX","pp","tail","Strong","yes","noauto"
"stab","LX","nn","head","Light","yes","noauto"
"stab","LX","nn","head","Medium","yes","noauto"
"stab","LX","nn","head","Strong","yes","noauto"
"stab","LX","nn","tail","Light","yes","noauto"
"stab","LX","nn","tail","Medium","yes","noauto"
"stab","LX","nn","tail","Strong","yes","noauto"
"stab","XL","pp","head","Light","yes","noauto"
"stab","XL","pp","head","Medium","yes","noauto"
"stab","XL","pp","head","Strong","yes","noauto"
"stab","XL","pp","tail","Light","yes","noauto"
"stab","XL","pp","tail","Medium","yes","noauto"
"stab","XL","pp","tail","Strong","yes","noauto"
"stab","XL","nn","head","Light","yes","noauto"
"stab","XL","nn","head","Medium","yes","noauto"
"stab","XL","nn","head","Strong","yes","noauto"
"stab","XL","nn","tail","Light","yes","noauto"
"stab","XL","nn","tail","Medium","yes","noauto"
"stab","XL","nn","tail","Strong","yes","noauto"
