"height","voice.part"
64,"Soprano 1"
62,"Soprano 1"
66,"Soprano 1"
65,"Soprano 1"
60,"Soprano 1"
61,"Soprano 1"
65,"Soprano 1"
66,"Soprano 1"
65,"Soprano 1"
63,"Soprano 1"
67,"Soprano 1"
65,"Soprano 1"
62,"Soprano 1"
65,"Soprano 1"
68,"Soprano 1"
65,"Soprano 1"
63,"Soprano 1"
65,"Soprano 1"
62,"Soprano 1"
65,"Soprano 1"
66,"Soprano 1"
62,"Soprano 1"
65,"Soprano 1"
63,"Soprano 1"
65,"Soprano 1"
66,"Soprano 1"
65,"Soprano 1"
62,"Soprano 1"
65,"Soprano 1"
66,"Soprano 1"
65,"Soprano 1"
61,"Soprano 1"
65,"Soprano 1"
66,"Soprano 1"
65,"Soprano 1"
62,"Soprano 1"
63,"Soprano 2"
67,"Soprano 2"
60,"Soprano 2"
67,"Soprano 2"
66,"Soprano 2"
62,"Soprano 2"
65,"Soprano 2"
62,"Soprano 2"
61,"Soprano 2"
62,"Soprano 2"
66,"Soprano 2"
60,"Soprano 2"
65,"Soprano 2"
65,"Soprano 2"
61,"Soprano 2"
64,"Soprano 2"
68,"Soprano 2"
64,"Soprano 2"
63,"Soprano 2"
62,"Soprano 2"
64,"Soprano 2"
62,"Soprano 2"
64,"Soprano 2"
65,"Soprano 2"
60,"Soprano 2"
65,"Soprano 2"
70,"Soprano 2"
63,"Soprano 2"
67,"Soprano 2"
66,"Soprano 2"
65,"Alto 1"
62,"Alto 1"
68,"Alto 1"
67,"Alto 1"
67,"Alto 1"
63,"Alto 1"
67,"Alto 1"
66,"Alto 1"
63,"Alto 1"
72,"Alto 1"
62,"Alto 1"
61,"Alto 1"
66,"Alto 1"
64,"Alto 1"
60,"Alto 1"
61,"Alto 1"
66,"Alto 1"
66,"Alto 1"
66,"Alto 1"
62,"Alto 1"
70,"Alto 1"
65,"Alto 1"
64,"Alto 1"
63,"Alto 1"
65,"Alto 1"
69,"Alto 1"
61,"Alto 1"
66,"Alto 1"
65,"Alto 1"
61,"Alto 1"
63,"Alto 1"
64,"Alto 1"
67,"Alto 1"
66,"Alto 1"
68,"Alto 1"
70,"Alto 2"
65,"Alto 2"
65,"Alto 2"
65,"Alto 2"
64,"Alto 2"
66,"Alto 2"
64,"Alto 2"
70,"Alto 2"
63,"Alto 2"
70,"Alto 2"
64,"Alto 2"
63,"Alto 2"
67,"Alto 2"
65,"Alto 2"
63,"Alto 2"
66,"Alto 2"
66,"Alto 2"
64,"Alto 2"
64,"Alto 2"
70,"Alto 2"
70,"Alto 2"
66,"Alto 2"
66,"Alto 2"
66,"Alto 2"
69,"Alto 2"
67,"Alto 2"
65,"Alto 2"
69,"Tenor 1"
72,"Tenor 1"
71,"Tenor 1"
66,"Tenor 1"
76,"Tenor 1"
74,"Tenor 1"
71,"Tenor 1"
66,"Tenor 1"
68,"Tenor 1"
67,"Tenor 1"
70,"Tenor 1"
65,"Tenor 1"
72,"Tenor 1"
70,"Tenor 1"
68,"Tenor 1"
64,"Tenor 1"
73,"Tenor 1"
66,"Tenor 1"
68,"Tenor 1"
67,"Tenor 1"
64,"Tenor 1"
68,"Tenor 2"
73,"Tenor 2"
69,"Tenor 2"
71,"Tenor 2"
69,"Tenor 2"
76,"Tenor 2"
71,"Tenor 2"
69,"Tenor 2"
71,"Tenor 2"
66,"Tenor 2"
69,"Tenor 2"
71,"Tenor 2"
71,"Tenor 2"
71,"Tenor 2"
69,"Tenor 2"
70,"Tenor 2"
69,"Tenor 2"
68,"Tenor 2"
70,"Tenor 2"
68,"Tenor 2"
69,"Tenor 2"
72,"Bass 1"
70,"Bass 1"
72,"Bass 1"
69,"Bass 1"
73,"Bass 1"
71,"Bass 1"
72,"Bass 1"
68,"Bass 1"
68,"Bass 1"
71,"Bass 1"
66,"Bass 1"
68,"Bass 1"
71,"Bass 1"
73,"Bass 1"
73,"Bass 1"
70,"Bass 1"
68,"Bass 1"
70,"Bass 1"
75,"Bass 1"
68,"Bass 1"
71,"Bass 1"
70,"Bass 1"
74,"Bass 1"
70,"Bass 1"
75,"Bass 1"
75,"Bass 1"
69,"Bass 1"
72,"Bass 1"
71,"Bass 1"
70,"Bass 1"
71,"Bass 1"
68,"Bass 1"
70,"Bass 1"
75,"Bass 1"
72,"Bass 1"
66,"Bass 1"
72,"Bass 1"
70,"Bass 1"
69,"Bass 1"
72,"Bass 2"
75,"Bass 2"
67,"Bass 2"
75,"Bass 2"
74,"Bass 2"
72,"Bass 2"
72,"Bass 2"
74,"Bass 2"
72,"Bass 2"
72,"Bass 2"
74,"Bass 2"
70,"Bass 2"
66,"Bass 2"
68,"Bass 2"
75,"Bass 2"
68,"Bass 2"
70,"Bass 2"
72,"Bass 2"
67,"Bass 2"
70,"Bass 2"
70,"Bass 2"
69,"Bass 2"
72,"Bass 2"
71,"Bass 2"
74,"Bass 2"
75,"Bass 2"
