"","grade","sex","disadvg","ethnicty","tlimth"
"1",6,"M","YES","HISPANIC",43
"2",7,"M","NO","BLACK",88
"3",5,"F","YES","HISPANIC",34
"4",3,"M","YES","HISPANIC",65
"5",8,"M","YES","WHITE",75
"6",5,"M","NO","BLACK",74
"7",8,"F","YES","HISPANIC",72
"8",4,"M","YES","BLACK",79
"9",6,"M","NO","WHITE",88
"10",7,"M","YES","HISPANIC",87
"11",3,"M","NO","WHITE",79
"12",6,"F","NO","WHITE",84
"13",8,"M","NO","WHITE",90
"14",5,"M","NO","WHITE",73
"15",8,"F","NO","WHITE",72
"16",6,"F","NO","BLACK",82
"17",4,"M","NO","WHITE",69
"18",3,"F","YES","HISPANIC",17
"19",3,"M","NO","HISPANIC",37
"20",5,"M","NO","WHITE",70
"21",6,"M","NO","WHITE",90
"22",6,"F","NO","WHITE",91
"23",5,"F","NO","WHITE",50
"24",7,"M","NO","WHITE",83
"25",4,"F","YES","BLACK",58
"26",4,"M","YES","HISPANIC",85
"27",7,"F","NO","WHITE",52
"28",5,"M","NO","WHITE",86
"29",4,"F","YES","BLACK",79
"30",8,"M","NO","WHITE",48
"31",4,"F","NO","BLACK",63
"32",8,"F","YES","WHITE",88
"33",3,"F","YES","HISPANIC",76
"34",7,"M","NO","WHITE",79
"35",8,"M","NO","WHITE",87
"36",6,"F","NO","HISPANIC",80
"37",7,"F","NO","WHITE",66
"38",4,"F","NO","WHITE",68
"39",6,"M","NO","WHITE",92
"40",7,"F","NO","WHITE",57
"41",8,"F","NO","WHITE",57
"42",4,"F","NO","WHITE",66
"43",7,"F","NO","BLACK",88
"44",8,"F","NO","BLACK",59
"45",6,"F","NO","WHITE",87
"46",4,"M","YES","BLACK",59
"47",7,"M","NO","WHITE",88
"48",6,"M","NO","HISPANIC",75
"49",5,"M","YES","HISPANIC",93
"50",7,"M","YES","BLACK",77
"51",3,"M","NO","WHITE",85
"52",3,"F","NO","WHITE",84
"53",6,"M","NO","WHITE",91
"54",6,"M","NO","WHITE",80
"55",3,"M","YES","BLACK",80
"56",7,"F","NO","WHITE",90
"57",7,"F","NO","BLACK",85
"58",5,"F","YES","HISPANIC",63
"59",4,"F","NO","WHITE",91
"60",6,"M","NO","BLACK",59
"61",6,"M","YES","WHITE",85
"62",7,"F","NO","OTHER",92
"63",8,"M","NO","HISPANIC",51
"64",6,"F","YES","OTHER",87
"65",6,"M","NO","WHITE",92
"66",8,"F","NO","WHITE",85
"67",8,"M","YES","BLACK",47
"68",4,"F","NO","WHITE",78
"69",8,"M","YES","HISPANIC",86
"70",7,"M","NO","WHITE",86
"71",3,"F","NO","BLACK",67
"72",3,"M","YES","BLACK",64
"73",5,"M","YES","HISPANIC",86
"74",5,"F","NO","WHITE",80
"75",4,"M","YES","BLACK",81
"76",3,"M","NO","WHITE",70
"77",8,"F","NO","WHITE",82
"78",5,"F","NO","WHITE",69
"79",7,"F","NO","WHITE",79
"80",3,"F","YES","BLACK",67
"81",6,"F","NO","WHITE",91
"82",3,"F","YES","HISPANIC",91
"83",4,"F","YES","HISPANIC",78
"84",5,"F","NO","WHITE",86
"85",4,"F","NO","WHITE",87
"86",7,"F","NO","WHITE",83
"87",5,"F","NO","WHITE",93
"88",3,"M","YES","BLACK",70
"89",4,"M","YES","BLACK",86
"90",6,"F","YES","BLACK",87
"91",6,"F","NO","WHITE",83
"92",6,"F","YES","BLACK",75
"93",6,"M","NO","WHITE",88
"94",5,"M","NO","WHITE",91
"95",3,"M","YES","HISPANIC",89
"96",7,"F","NO","WHITE",91
"97",5,"F","YES","WHITE",79
"98",7,"M","NO","WHITE",83
"99",6,"M","YES","HISPANIC",78
"100",6,"F","NO","WHITE",84
