"","Rods","Drying","Material","Thickness","Angle","Opening","Current","Method","Preheating","Strength"
"1",-1,-1,-1,-1,-1,-1,-1,-1,-1,43.7
"2",-1,-1,1,1,1,1,-1,-1,1,40.2
"3",-1,1,1,-1,-1,-1,-1,1,-1,42.4
"4",-1,1,-1,1,1,1,-1,1,1,44.7
"5",-1,1,1,-1,-1,1,1,-1,1,42.4
"6",-1,1,-1,1,1,-1,1,-1,-1,45.9
"7",-1,-1,-1,-1,-1,1,1,1,1,42.2
"8",-1,-1,1,1,1,-1,1,1,-1,40.6
"9",1,1,1,-1,1,-1,-1,-1,1,42.4
"10",1,1,-1,1,-1,1,-1,-1,-1,45.5
"11",1,-1,-1,-1,1,-1,-1,1,1,43.6
"12",1,-1,1,1,-1,1,-1,1,-1,40.6
"13",1,-1,-1,-1,1,1,1,-1,-1,44
"14",1,-1,1,1,-1,-1,1,-1,1,40.2
"15",1,1,1,-1,1,1,1,1,-1,42.5
"16",1,1,-1,1,-1,-1,1,1,1,46.5
