"Days","Weight"
0,184.35
4,182.51
7,180.45
7,179.91
11,177.91
18,175.81
24,173.11
30,170.06
32,169.31
43,165.1
46,163.11
60,158.3
64,155.8
70,154.31
71,153.86
71,154.2
73,152.2
74,152.8
84,150.3
88,147.8
95,146.1
102,145.6
106,142.5
109,142.3
115,139.4
122,137.9
133,133.7
137,133.7
140,133.3
143,131.2
147,133
148,132.2
149,130.8
150,131.3
153,129
156,127.9
161,126.9
164,127.7
165,129.5
165,128.4
170,125.4
176,124.9
179,124.9
198,118.2
214,118.2
218,115.3
221,115.7
225,116
233,115.5
238,112.6
241,114
246,112.6
