"R Package","Dataset","Description","Doc","CSV"
"datasets","BOD","Biochemical Oxygen Demand","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/BOD.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/BOD.csv"
"datasets","Formaldehyde","Determination of Formaldehyde","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/Formaldehyde.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/Formaldehyde.csv"
"datasets","HairEyeColor","Hair and Eye Color of Statistics Students","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/HairEyeColor.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/HairEyeColor.csv"
"datasets","InsectSprays","Effectiveness of Insect Sprays","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/InsectSprays.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/InsectSprays.csv"
"datasets","LifeCycleSavings","Intercountry Life-Cycle Savings Data","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/LifeCycleSavings.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/LifeCycleSavings.csv"
"datasets","OrchardSprays","Potency of Orchard Sprays","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/OrchardSprays.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/OrchardSprays.csv"
"datasets","PlantGrowth","Results from an Experiment on Plant Growth","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/PlantGrowth.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/PlantGrowth.csv"
"datasets","Puromycin","Reaction Velocity of an Enzymatic Reaction","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/Puromycin.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/Puromycin.csv"
"datasets","Titanic","Survival of passengers on the Titanic","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/Titanic.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/Titanic.csv"
"datasets","ToothGrowth","The Effect of Vitamin C on Tooth Growth in Guinea Pigs","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/ToothGrowth.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/ToothGrowth.csv"
"datasets","UCBAdmissions","Student Admissions at UC Berkeley","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/UCBAdmissions.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/UCBAdmissions.csv"
"datasets","USArrests","Violent Crime Rates by US State","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/USArrests.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/USArrests.csv"
"datasets","USJudgeRatings","Lawyers' Ratings of State Judges in the US Superior Court","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/USJudgeRatings.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/USJudgeRatings.csv"
"datasets","USPersonalExpenditure","Personal Expenditure Data","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/USPersonalExpenditure.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/USPersonalExpenditure.csv"
"datasets","VADeaths","Death Rates in Virginia (1940)","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/VADeaths.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/VADeaths.csv"
"datasets","WorldPhones","The World's Telephones","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/WorldPhones.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/WorldPhones.csv"
"datasets","airquality","New York Air Quality Measurements","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/airquality.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/airquality.csv"
"datasets","anscombe","Anscombe's Quartet of 'Identical' Simple Linear Regressions","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/anscombe.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/anscombe.csv"
"datasets","attenu","The Joyner-Boore Attenuation Data","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/attenu.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/attenu.csv"
"datasets","attitude","The Chatterjee-Price Attitude Data","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/attitude.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/attitude.csv"
"datasets","cars","Speed and Stopping Distances of Cars","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/cars.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/cars.csv"
"datasets","chickwts","Chicken Weights by Feed Type","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/chickwts.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/chickwts.csv"
"datasets","crimtab","Student's 3000 Criminals Data","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/crimtab.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/crimtab.csv"
"datasets","esoph","Smoking, Alcohol and (O)esophageal Cancer","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/esoph.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/esoph.csv"
"datasets","euro","Conversion Rates of Euro Currencies","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/euro.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/euro.csv"
"datasets","faithful","Old Faithful Geyser Data","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/faithful.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/faithful.csv"
"datasets","freeny","Freeny's Revenue Data","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/freeny.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/freeny.csv"
"datasets","infert","Infertility after Spontaneous and Induced Abortion","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/infert.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/infert.csv"
"datasets","iris","Edgar Anderson's Iris Data","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/iris.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/iris.csv"
"datasets","islands","Areas of the World's Major Landmasses","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/islands.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/islands.csv"
"datasets","longley","Longley's Economic Regression Data","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/longley.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/longley.csv"
"datasets","morley","Michelson Speed of Light Data","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/morley.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/morley.csv"
"datasets","mtcars","Motor Trend Car Road Tests","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/mtcars.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/mtcars.csv"
"datasets","occupationalStatus","Occupational Status of Fathers and their Sons","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/occupationalStatus.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/occupationalStatus.csv"
"datasets","precip","Annual Precipitation in US Cities","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/precip.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/precip.csv"
"datasets","pressure","Vapor Pressure of Mercury as a Function of Temperature","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/pressure.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/pressure.csv"
"datasets","quakes","Locations of Earthquakes off Fiji","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/quakes.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/quakes.csv"
"datasets","randu","Random Numbers from Congruential Generator RANDU","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/randu.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/randu.csv"
"datasets","rivers","Lengths of Major North American Rivers","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/rivers.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/rivers.csv"
