"Package","Item","Title"
"coda","line","Simple linear regression example"
"countrycode","countrycode_data","Country code translation data frame"
"dichromat","dalton","Effects of daltonism (red-green color blindness)"
"dichromat","dalton.colors (dalton)","Effects of daltonism (red-green color blindness)"
"ggplot2","diamonds","Prices of 50,000 round cut diamonds"
"ggplot2","economics","US economic time series."
"ggplot2","midwest","Midwest demographics."
"ggplot2","movies","Movie information and user ratings from IMDB.com."
"ggplot2","mpg","Fuel economy data from 1999 and 2008 for 38 popular models of car"
"ggplot2","msleep","An updated and expanded version of the mammals sleep dataset."
"ggplot2","presidential","Terms of 10 presidents from Eisenhower to Bush W."
"ggplot2","seals","Vector field of seal movements."
"plyr","baseball","Yearly batting records for all major league baseball players"
"plyr","ozone","Monthly ozone measurements over Central America."
"reshape2","french_fries","Sensory data from a french fries experiment."
"reshape2","smiths","Demo data describing the Smiths."
"reshape2","tips","Tipping data"
"sem","Bollen","Bollen's Data on Industrialization and Political Democracy"
"sem","CNES","Variables from the 1997 Canadian National Election Study"
"sem","Klein","Klein's Data on the U. S. Economy"
"sem","Kmenta","Partly Artificial Data on the U. S. Economy"
"WDI","WDI_data","World Development Indicators series and country information"
"xtable","tli","Math scores from Texas Assessment of Academic Skills (TAAS)"
"datasets","AirPassengers","Monthly Airline Passenger Numbers 1949-1960"
"datasets","BJsales","Sales Data with Leading Indicator"
"datasets","BJsales.lead (BJsales)","Sales Data with Leading Indicator"
"datasets","BOD","Biochemical Oxygen Demand"
"datasets","CO2","Carbon Dioxide Uptake in Grass Plants"
"datasets","ChickWeight","Weight versus age of chicks on different diets"
"datasets","DNase","Elisa assay of DNase"
"datasets","EuStockMarkets","Daily Closing Prices of Major European Stock Indices, 1991-1998"
"datasets","Formaldehyde","Determination of Formaldehyde"
"datasets","HairEyeColor","Hair and Eye Color of Statistics Students"
"datasets","Harman23.cor","Harman Example 2.3"
"datasets","Harman74.cor","Harman Example 7.4"
"datasets","Indometh","Pharmacokinetics of Indomethacin"
"datasets","InsectSprays","Effectiveness of Insect Sprays"
"datasets","JohnsonJohnson","Quarterly Earnings per Johnson & Johnson Share"
"datasets","LakeHuron","Level of Lake Huron 1875-1972"
"datasets","LifeCycleSavings","Intercountry Life-Cycle Savings Data"
"datasets","Loblolly","Growth of Loblolly pine trees"
"datasets","Nile","Flow of the River Nile"
"datasets","Orange","Growth of Orange Trees"
"datasets","OrchardSprays","Potency of Orchard Sprays"
"datasets","PlantGrowth","Results from an Experiment on Plant Growth"
"datasets","Puromycin","Reaction Velocity of an Enzymatic Reaction"
"datasets","Seatbelts","Road Casualties in Great Britain 1969-84"
"datasets","Theoph","Pharmacokinetics of Theophylline"
"datasets","Titanic","Survival of passengers on the Titanic"
"datasets","ToothGrowth","The Effect of Vitamin C on Tooth Growth in Guinea Pigs"
"datasets","UCBAdmissions","Student Admissions at UC Berkeley"
"datasets","UKDriverDeaths","Road Casualties in Great Britain 1969-84"
"datasets","UKgas","UK Quarterly Gas Consumption"
"datasets","USAccDeaths","Accidental Deaths in the US 1973-1978"
"datasets","USArrests","Violent Crime Rates by US State"
"datasets","USJudgeRatings","Lawyers' Ratings of State Judges in the US Superior Court"
"datasets","USPersonalExpenditure","Personal Expenditure Data"
"datasets","VADeaths","Death Rates in Virginia (1940)"
"datasets","WWWusage","Internet Usage per Minute"
"datasets","WorldPhones","The World's Telephones"
"datasets","ability.cov","Ability and Intelligence Tests"
"datasets","airmiles","Passenger Miles on Commercial US Airlines, 1937-1960"
"datasets","airquality","New York Air Quality Measurements"
"datasets","anscombe","Anscombe's Quartet of 'Identical' Simple Linear Regressions"
"datasets","attenu","The Joyner-Boore Attenuation Data"
"datasets","attitude","The Chatterjee-Price Attitude Data"
"datasets","austres","Quarterly Time Series of the Number of Australian Residents"
"datasets","beaver1 (beavers)","Body Temperature Series of Two Beavers"
"datasets","beaver2 (beavers)","Body Temperature Series of Two Beavers"
"datasets","cars","Speed and Stopping Distances of Cars"
"datasets","chickwts","Chicken Weights by Feed Type"
"datasets","co2","Mauna Loa Atmospheric CO2 Concentration"
"datasets","crimtab","Student's 3000 Criminals Data"
"datasets","discoveries","Yearly Numbers of Important Discoveries"
"datasets","esoph","Smoking, Alcohol and (O)esophageal Cancer"
"datasets","euro","Conversion Rates of Euro Currencies"
"datasets","euro.cross (euro)","Conversion Rates of Euro Currencies"
"datasets","eurodist","Distances Between European Cities"
"datasets","faithful","Old Faithful Geyser Data"
"datasets","fdeaths (UKLungDeaths)","Monthly Deaths from Lung Diseases in the UK"
"datasets","freeny","Freeny's Revenue Data"
"datasets","freeny.x (freeny)","Freeny's Revenue Data"
"datasets","freeny.y (freeny)","Freeny's Revenue Data"
"datasets","infert","Infertility after Spontaneous and Induced Abortion"
"datasets","iris","Edgar Anderson's Iris Data"
"datasets","iris3","Edgar Anderson's Iris Data"
"datasets","islands","Areas of the World's Major Landmasses"
"datasets","ldeaths (UKLungDeaths)","Monthly Deaths from Lung Diseases in the UK"
"datasets","lh","Luteinizing Hormone in Blood Samples"
"datasets","longley","Longley's Economic Regression Data"
"datasets","lynx","Annual Canadian Lynx trappings 1821-1934"
"datasets","mdeaths (UKLungDeaths)","Monthly Deaths from Lung Diseases in the UK"
"datasets","morley","Michaelson-Morley Speed of Light Data"
"datasets","mtcars","Motor Trend Car Road Tests"
"datasets","nhtemp","Average Yearly Temperatures in New Haven"
"datasets","nottem","Average Monthly Temperatures at Nottingham, 1920-1939"
"datasets","occupationalStatus","Occupational Status of Fathers and their Sons"
"datasets","precip","Annual Precipitation in US Cities"
"datasets","presidents","Quarterly Approval Ratings of US Presidents"
"datasets","pressure","Vapor Pressure of Mercury as a Function of Temperature"
"datasets","quakes","Locations of Earthquakes off Fiji"
"datasets","randu","Random Numbers from Congruential Generator RANDU"
"datasets","rivers","Lengths of Major North American Rivers"
"datasets","rock","Measurements on Petroleum Rock Samples"
"datasets","sleep","Student's Sleep Data"
"datasets","stack.loss (stackloss)","Brownlee's Stack Loss Plant Data"
"datasets","stack.x (stackloss)","Brownlee's Stack Loss Plant Data"
"datasets","stackloss","Brownlee's Stack Loss Plant Data"
"datasets","state.abb (state)","US State Facts and Figures"
"datasets","state.area (state)","US State Facts and Figures"
"datasets","state.center (state)","US State Facts and Figures"
"datasets","state.division (state)","US State Facts and Figures"
"datasets","state.name (state)","US State Facts and Figures"
"datasets","state.region (state)","US State Facts and Figures"
"datasets","state.x77 (state)","US State Facts and Figures"
"datasets","sunspot.month","Monthly Sunspot Data, 1749-1997"
"datasets","sunspot.year","Yearly Sunspot Data, 1700-1988"
"datasets","sunspots","Monthly Sunspot Numbers, 1749-1983"
"datasets","swiss","Swiss Fertility and Socioeconomic Indicators (1888) Data"
"datasets","treering","Yearly Treering Data, -6000-1979"
"datasets","trees","Girth, Height and Volume for Black Cherry Trees"
"datasets","uspop","Populations Recorded by the US Census"
"datasets","volcano","Topographic Information on Auckland's Maunga Whau Volcano"
"datasets","warpbreaks","The Number of Breaks in Yarn during Weaving"
"datasets","women","Average Heights and Weights for American Women"
"boot","acme","Monthly Excess Returns"
"boot","aids","Delay in AIDS Reporting in England and Wales"
"boot","aircondit","Failures of Air-conditioning Equipment"
"boot","aircondit7","Failures of Air-conditioning Equipment"
"boot","amis","Car Speeding and Warning Signs"
"boot","aml","Remission Times for Acute Myelogenous Leukaemia"
"boot","beaver","Beaver Body Temperature Data"
"boot","bigcity","Population of U.S. Cities"
"boot","brambles","Spatial Location of Bramble Canes"
"boot","breslow","Smoking Deaths Among Doctors"
"boot","calcium","Calcium Uptake Data"
"boot","cane","Sugar-cane Disease Data"
"boot","capability","Simulated Manufacturing Process Data"
"boot","catsM","Weight Data for Domestic Cats"
"boot","cav","Position of Muscle Caveolae"
"boot","cd4","CD4 Counts for HIV-Positive Patients"
"boot","cd4.nested","Nested Bootstrap of cd4 data"
